bin,M_500c,M_hot_gas_500c_T_sl_500c_cov,M_hot_gas_500c_T_sl_500c_cov-,M_hot_gas_500c_T_sl_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov+,M_hot_gas_500c_Y_X_500c_cov,M_hot_gas_500c_Y_X_500c_cov-,M_hot_gas_500c_Y_X_500c_cov+,M_hot_gas_500c_Y_SZ_500c_cov,M_hot_gas_500c_Y_SZ_500c_cov-,M_hot_gas_500c_Y_SZ_500c_cov+,T_sl_500c_L_X_ROSAT_obs_500c_cov,T_sl_500c_L_X_ROSAT_obs_500c_cov-,T_sl_500c_L_X_ROSAT_obs_500c_cov+,T_sl_500c_Y_X_500c_cov,T_sl_500c_Y_X_500c_cov-,T_sl_500c_Y_X_500c_cov+,T_sl_500c_Y_SZ_500c_cov,T_sl_500c_Y_SZ_500c_cov-,T_sl_500c_Y_SZ_500c_cov+,L_X_ROSAT_obs_500c_Y_X_500c_cov,L_X_ROSAT_obs_500c_Y_X_500c_cov-,L_X_ROSAT_obs_500c_Y_X_500c_cov+,L_X_ROSAT_obs_500c_Y_SZ_500c_cov,L_X_ROSAT_obs_500c_Y_SZ_500c_cov-,L_X_ROSAT_obs_500c_Y_SZ_500c_cov+,Y_X_500c_Y_SZ_500c_cov,Y_X_500c_Y_SZ_500c_cov-,Y_X_500c_Y_SZ_500c_cov+,M_hot_gas_500c_T_mw_hot_gas_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov,M_hot_gas_500c_T_mw_hot_gas_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov-,M_hot_gas_500c_T_mw_hot_gas_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov+,T_sl_500c_T_mw_hot_gas_500c_cov,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov,T_sl_500c_T_mw_hot_gas_500c_cov-,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov-,T_sl_500c_T_mw_hot_gas_500c_cov+,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov+,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov-,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov-,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov+,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov+,Y_X_500c_T_mw_hot_gas_500c_cov,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov,Y_X_500c_T_mw_hot_gas_500c_cov-,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov-,Y_X_500c_T_mw_hot_gas_500c_cov+,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov+,Y_SZ_500c_T_mw_hot_gas_500c_cov,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov,Y_SZ_500c_T_mw_hot_gas_500c_cov-,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov-,Y_SZ_500c_T_mw_hot_gas_500c_cov+,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov+
0,13.0,0.0037268287775283,0.0031328866982517,0.0043253124510701,0.1885763660198419,0.1838171764355495,0.1934195610122628,0.0932934557849677,0.0913702539127746,0.095141854790414,0.08722952232433,0.085281259690457,0.0889931431213535,0.0224466466596543,0.0199276566329495,0.0250887298544643,0.024431972885443,0.0235474857196509,0.0252494141215513,0.016621999073585,0.0158707942683575,0.0172993350653171,0.2109667572863688,0.2054018668231775,0.2169931723224536,0.1787501289859161,0.174294883017828,0.1835285451288167,0.1037276395228265,0.1016138813409111,0.1058017353284431,-0.0024310487335472,0.2056968401372641,-0.003019835171149,0.2008150959564647,-0.001832828476112,0.2100818460366045,0.0128184830955504,0.0247599740035257,0.0124601735841848,0.0222651651753912,0.0131924557365977,0.0277498171444334,-0.0100891873253028,0.8744042503468523,-0.0123039560751266,0.8455122236771216,-0.0078775746865489,0.903805220587302,0.0104586560844347,0.2310613401283466,0.0097197352727835,0.2246719947248522,0.0111841784691091,0.2369721759619444,0.0156452064962198,0.1967961117709246,0.0150240798719181,0.1918856683761256,0.0162895235451234,0.2014629839676517
1,13.107746421052632,0.0027600582222293,0.0021941940927482,0.003325599367203,0.1378641914374537,0.134054228878397,0.1416205508972877,0.0705677965889298,0.0688755906802374,0.0722447508499953,0.0665436346622453,0.0651629519319873,0.068127034159455,0.0108203233648604,0.0085054096674351,0.0131177531090544,0.0226563944860385,0.0218007889592462,0.0235834944941404,0.0141775342317779,0.0134971783716061,0.0149372232969299,0.1488246845478431,0.1438187147113716,0.1533286713100281,0.1306259287765263,0.1268787797900465,0.1345183652327534,0.0807489042078259,0.0789618438228928,0.0826418168193817,-0.0012263206997282,0.1506791110595503,-0.0016717639134739,0.1465523493069305,-0.0007518631318128,0.1543726614652766,0.0113881959067098,0.0118672945174008,0.0110458425441132,0.0095516175841229,0.0117323587876548,0.014321193451419,-0.0072252910425121,0.6490915184493111,-0.0089957347802709,0.6242758509557964,-0.0054568121951571,0.6747859831425705,0.0101451692477366,0.1623321891793678,0.0095981891921571,0.1573972858867099,0.0107442545043557,0.1669233078255699,0.012830903685229,0.1438136054479902,0.0122224116547131,0.1398304595945583,0.0134396314473408,0.1479204739863064
2,13.215492842105265,0.0025907830671681,0.0020731232831534,0.0031330151645077,0.0976854547094306,0.0947587358576912,0.1007250955205968,0.052692290367599,0.0513512182128408,0.0541048417862021,0.0499169512865818,0.0486472361435653,0.0512289944896487,0.003551435760325,0.0015209891452725,0.0054669185518836,0.0213182462632084,0.0204057624293567,0.0221704062652905,0.0124577506931614,0.011793919139091,0.0131270532650048,0.1011416274162725,0.0976932223899936,0.1052560758348846,0.0931657961450373,0.0903075476584183,0.0964631014033628,0.0622030133667188,0.0606921539150622,0.0639653004593545,-0.0002724121313197,0.1061860854843041,-0.0006543910497619,0.103380842740899,0.0001106913509294,0.1091264228611826,0.0098519401673251,0.0039468235780793,0.0095233799226436,0.0020894758733454,0.0101978628936965,0.0058371964370685,-0.0042928795907884,0.4586237818771667,-0.0056950166096223,0.436684127771759,-0.0028524009779238,0.479760347391679,0.0096301450500149,0.1101236601427764,0.0090627403544951,0.1062076978853244,0.0101614034947412,0.1139674138435771,0.0103745704957302,0.1024780362614179,0.0098912062938882,0.0993091693118364,0.0108645426370077,0.1055258288703482
3,13.323239263157896,0.0028886197353371,0.0023876637884091,0.003393111635063,0.0680272623564338,0.0658316991617349,0.0705155421756587,0.0396054921259574,0.0383936692132845,0.0408412832361766,0.0371728446068632,0.0361102605175599,0.0383176399529983,0.0007585703922775,-0.0008928632374247,0.0022618441172425,0.0200361589555965,0.0192497272106065,0.0209727531604616,0.0112275368974696,0.0106065108738084,0.0118628029742839,0.0689588504247221,0.0661456408549318,0.0718901787881829,0.0664265656221976,0.0640367240034503,0.0688452779462955,0.0483433473161405,0.0469768648563312,0.0498397542422894,0.0003794693472563,0.0734373921017406,6.020545263908761e-05,0.0708953916866158,0.0006783794081401,0.0759302361370869,0.0083140112425867,0.0007271901966879,0.0080077908065696,-0.0009459840979987,0.0086281515530711,0.002183582184721,-0.0018481994899161,0.3094847154228887,-0.0028028759679093,0.2928798499977618,-0.0008036117114174,0.3273518213033227,0.0086987141485488,0.0743902962755268,0.0082263692532987,0.0713509386875329,0.009176181729975,0.0774105614790113,0.0083083921437945,0.0724428978881414,0.007934983678058,0.0700714774562222,0.0087626286182937,0.0749845954101302
4,13.430985684210526,0.0032816190454887,0.002804037596487,0.0036937377819582,0.0483981893074121,0.0465193640191322,0.0503682016462299,0.0305480819029235,0.0295300237531946,0.031654962596374,0.0278651040331347,0.0269165996145494,0.0288336497771298,0.0007246952044791,-0.0005578562080849,0.0021545128598167,0.0184380723929343,0.0174572060913354,0.0193398293254057,0.0101276496008659,0.0095399511406241,0.0106951655353753,0.049151360869276,0.0466605909453061,0.0515226978988019,0.0479746875436772,0.0460490709114015,0.0499193800619342,0.0379605325417854,0.0366747482441841,0.0392479317474847,0.0006051774323626,0.0516400713386918,0.0003664886460346,0.0498347215784169,0.0008526415866229,0.0535896282625261,0.006804096424365,0.0008057563669062,0.0065212185107915,-0.0006574846582954,0.0071015641017752,0.002101659241534,-0.0004278999279727,0.2036102402628327,-0.0011597582255905,0.1894680101081051,0.0003529415984066,0.2193349171666112,0.0074402909998319,0.0524567940365046,0.0070209894466807,0.0500722952441969,0.0079164640273896,0.0547814008459512,0.0066418443350806,0.0516795257283527,0.0062854176310707,0.0496598546634124,0.0070078325817716,0.0536020467046031
5,13.538732105263158,0.0035336744652721,0.00311927721403,0.0039193698059531,0.0364452437675816,0.0349420022775111,0.0379349257109942,0.0244569132733375,0.0236410701176588,0.0253848688104573,0.0215260368477689,0.0207639180829653,0.0222749621304216,0.0022735441910538,0.0009155381035265,0.0036933614568514,0.0163065250496697,0.0154604730749541,0.0171931792983267,0.0089381625392021,0.0083229658334863,0.0095025198017816,0.0386906110688432,0.0365316247690183,0.0407507709029839,0.036441772888114,0.0347187586910978,0.038205096043887,0.0304463075270047,0.0294360938440155,0.0316304901165216,0.0004899660583272,0.0383438241276847,0.000253633550017,0.0369332709133383,0.0007313202489142,0.0397285610153482,0.0054089270409852,0.0021024014096519,0.0051405997715943,0.0008809647867317,0.0057055007546234,0.0033882624642656,8.713068843054449e-05,0.1394972150743537,-0.000515854916531,0.1272340090316356,0.000694357795233,0.1545505404779907,0.0058840869196518,0.0403746508706788,0.0054625863003081,0.0383491863784761,0.0063238766981736,0.0425384336378077,0.0051988871380145,0.0389056280301408,0.0048169973127964,0.0372345171139817,0.0055450903106852,0.0405670347335024
6,13.64647852631579,0.0034501603220938,0.003090783727735,0.0037847303374314,0.0300096137371596,0.0287164646066367,0.0312539030909789,0.0206288334842132,0.019787271300016,0.0214174376994421,0.0172822794404464,0.016664362010765,0.0179765732544951,0.0036729434407154,0.0021986046170655,0.0051421020916126,0.0139818435497828,0.0131489066554513,0.0148356990278031,0.0076852234206798,0.0071798094708928,0.0082353586746488,0.0335987989062397,0.0315274834499676,0.035987944797123,0.0300958952923195,0.0287235891638602,0.031511552123706,0.0249773461401096,0.0239723646350826,0.026010774621054,0.0001648673821738,0.0311314574762828,-8.838601406514013e-05,0.0298958485320937,0.0003962055229687,0.032426548615753,0.0042007261788194,0.0034360809693769,0.0039427479746716,0.0018458747488563,0.0044863356360824,0.004992279569273,0.0001230206340835,0.1059537047675983,-0.0004814945130678,0.091577434735308,0.00071404621192,0.122375905553692,0.0043357208755885,0.0345480726402284,0.0039618950508714,0.0323998855513011,0.0047669333972312,0.0370574115683752,0.0040508210433003,0.0316044641504384,0.003692031368589,0.030279318788627,0.0044158654306259,0.0329518482192187
7,13.75422494736842,0.0031643885041799,0.0028479929109241,0.0034747294546696,0.0263456757779833,0.0251495598312168,0.0275837436000571,0.0176198534037282,0.0169105003018176,0.0183221427497213,0.0142677133027991,0.0136794509294837,0.0149409078113514,0.0047456926688994,0.0029932846906492,0.0064457349593881,0.0117725871697681,0.0109980920568894,0.0126206029847356,0.0064403807281054,0.0059978091756444,0.0069162674275383,0.031341718813286,0.0289865010379107,0.0335293442665988,0.026428201604207,0.025114935181993,0.0278335087360914,0.0207766197349868,0.0199298453816605,0.021673791059355,-0.0002122725719993,0.0270467906022989,-0.0004588051384922,0.0258385313291731,2.085047391681679e-05,0.0282460003885733,0.0032931233706028,0.0043899055704115,0.0030494202938437,0.0023811505118898,0.0035436464611582,0.0060352329781707,-1.9862481375992077e-05,0.088950026759377,-0.0005458568166128,0.0775236723765541,0.0005964169316912,0.1026434262528745,0.0030931052798145,0.0313444337148146,0.002714385505911,0.0288886810212943,0.0034892518741098,0.0337066627232801,0.0031801387193028,0.0273018013283332,0.0028714878267469,0.026067226980924,0.0035135886832646,0.0286975455972536
8,13.861971368421052,0.0028404915916325,0.0025426187936085,0.0031589170551927,0.0238980150456701,0.0227123970716454,0.0250712104932296,0.0150945773452832,0.0143797598615124,0.0157834581262301,0.0117808340381164,0.0112697490260627,0.012385648455786,0.0059220272452231,0.0038533806913159,0.0077048672156176,0.0100129859319556,0.0093314968723108,0.0108359468946654,0.0055914673754471,0.0051846248315699,0.0060099864324994,0.0300652507358264,0.0274681241865613,0.032137634422465,0.0241486801424123,0.0228507111114244,0.0254395412600135,0.0173419663806639,0.0165823769124265,0.0181978763970386,-0.0004161681853167,0.02409110162273,-0.0006245912742272,0.0229825121588742,-0.0002048952149037,0.025214126508543,0.0027419489186852,0.0054921136708535,0.0025070948515793,0.0032724007387802,0.0029780641031451,0.0070876867731636,0.0002127133217087,0.0807874295203196,-0.0003950616768286,0.0720610692992874,0.0007875054901379,0.0932826698019274,0.0023097100442547,0.0292749360487033,0.0019546132787695,0.0266897092124313,0.0026735699072647,0.0314742609780161,0.0026275848079646,0.0244100103152624,0.0023558603390354,0.0231866570392303,0.0029113910827841,0.025533253590456
9,13.969717789473684,0.0025888143709848,0.0022962814390841,0.0028808846275843,0.0217111729071199,0.0205647448825478,0.0229070599191465,0.0126335140052197,0.0119887906651174,0.0132550711740914,0.0095940249934557,0.0091253083384431,0.0101442029751497,0.0081594309956071,0.0062142469995262,0.0096806953731753,0.0089530388398699,0.0082741953476344,0.0096773776624531,0.0050572462493242,0.0046781713732144,0.0054559616627108,0.0298509670981455,0.0273614315136402,0.032163710939228,0.0228661402665881,0.0213919503006486,0.0243049338265959,0.0146966907454296,0.0138866851111077,0.0154413113387121,-0.0003880270165754,0.0212739005728207,-0.0005938728479284,0.0201733849265631,-0.000186568450682,0.0223548441939765,0.0024956775143195,0.0068964239312805,0.0022443707999245,0.004789216584271,0.0027153950453233,0.0084143836671363,0.0010781601810012,0.0793990941393532,0.0004226982125951,0.0718331270147509,0.0016734385629707,0.087607140496841,0.0020905513578113,0.0280303818545639,0.0017560782793738,0.0256802487106802,0.0024103509073986,0.0300586184256641,0.0024143175906816,0.0220999619230961,0.0021267587078261,0.02086304424814,0.0026694578738719,0.0232967172001016
