bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_500c_mpq,T_mw_hot_gas_500c_mpq-,T_mw_hot_gas_500c_mpq+,L_X_ROSAT_obs_ce_500c_mpq,L_X_ROSAT_obs_ce_500c_mpq-,L_X_ROSAT_obs_ce_500c_mpq+,M_hot_gas_500c_T_sl_500c_mpq,M_hot_gas_500c_T_sl_500c_mpq-,M_hot_gas_500c_T_sl_500c_mpq+,M_hot_gas_500c_L_X_ROSAT_obs_500c_mpq,M_hot_gas_500c_L_X_ROSAT_obs_500c_mpq-,M_hot_gas_500c_L_X_ROSAT_obs_500c_mpq+,M_hot_gas_500c_Y_X_500c_mpq,M_hot_gas_500c_Y_X_500c_mpq-,M_hot_gas_500c_Y_X_500c_mpq+,M_hot_gas_500c_Y_SZ_500c_mpq,M_hot_gas_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_Y_SZ_500c_mpq+,T_sl_500c_L_X_ROSAT_obs_500c_mpq,T_sl_500c_L_X_ROSAT_obs_500c_mpq-,T_sl_500c_L_X_ROSAT_obs_500c_mpq+,T_sl_500c_Y_X_500c_mpq,T_sl_500c_Y_X_500c_mpq-,T_sl_500c_Y_X_500c_mpq+,T_sl_500c_Y_SZ_500c_mpq,T_sl_500c_Y_SZ_500c_mpq-,T_sl_500c_Y_SZ_500c_mpq+,L_X_ROSAT_obs_500c_Y_X_500c_mpq,L_X_ROSAT_obs_500c_Y_X_500c_mpq-,L_X_ROSAT_obs_500c_Y_X_500c_mpq+,L_X_ROSAT_obs_500c_Y_SZ_500c_mpq,L_X_ROSAT_obs_500c_Y_SZ_500c_mpq-,L_X_ROSAT_obs_500c_Y_SZ_500c_mpq+,Y_X_500c_Y_SZ_500c_mpq,Y_X_500c_Y_SZ_500c_mpq-,Y_X_500c_Y_SZ_500c_mpq+,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_mpq,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_mpq-,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_mpq+,M_hot_gas_500c_T_sl_500c_Y_X_500c_mpq,M_hot_gas_500c_T_sl_500c_Y_X_500c_mpq-,M_hot_gas_500c_T_sl_500c_Y_X_500c_mpq+,M_hot_gas_500c_T_sl_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_500c_Y_SZ_500c_mpq+,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq-,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq+,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq+,M_hot_gas_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_Y_X_500c_Y_SZ_500c_mpq+,T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq,T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq-,T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq+,T_sl_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq,T_sl_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq-,T_sl_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq+,T_sl_500c_Y_X_500c_Y_SZ_500c_mpq,T_sl_500c_Y_X_500c_Y_SZ_500c_mpq-,T_sl_500c_Y_X_500c_Y_SZ_500c_mpq+,L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq,L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq-,L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq+,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq-,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq+,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq+,M_hot_gas_500c_T_sl_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_500c_Y_X_500c_Y_SZ_500c_mpq+,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq+,T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq,T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq-,T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq+,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq+
0,13.0,0.2292394788101437,0.2256273659828069,0.2329737019024602,0.2877060769903231,0.2797048146585494,0.2968484078992344,0.4940196426378571,0.480248453395545,0.5062592729523525,0.1946546782624046,0.1911230374071015,0.1979993853384406,0.1399011235578814,0.1375866346345357,0.1422463448263896,0.2730308825379873,0.267270095441403,0.2783699429497838,0.354399288622622,0.3460657031708464,0.3626432607772153,0.1925397156156474,0.1894149538370941,0.19541237977227,0.2172714307149311,0.2100659695299871,0.222958219928338,0.1928041451601126,0.1846013367155007,0.1973082563519942,0.128160017959177,0.1210034556471121,0.1343454755218044,0.2799393944021981,0.2735461421941547,0.2864268450233512,0.1923427567122113,0.1894290366441094,0.1952465222797331,0.1399040625607888,0.1375829085914218,0.1421261109832634,0.1711712942562499,0.1626545804396859,0.1781208575920606,0.1291755851283273,0.1255981931945351,0.1327990927852609,0.1290815542898775,0.1181935901994901,0.1354912221260304,0.1707688029149036,0.1628080506320658,0.17757030831591,0.1909059961676791,0.1878162900623062,0.1933787575345622,0.1267673603016713,0.1149755346314831,0.1335140972093717,0.1697032300328112,0.1579779652611698,0.1773524715636559,0.1250620064801796,0.1186242301529264,0.1298746771298688,0.1243573575721972,0.1133088379066086,0.1315476426038045,0.170821078545246,0.1617670979719284,0.1771998891172647,0.1285156351735745,0.1249696447077472,0.1321390159858063,0.1267842915382707,0.1140908420423764,0.1341157422500216,0.125769056294091,0.1172787561240303,0.131246127642258,0.1663999013270287,0.1556135470111603,0.1725279749989456,0.1248321370545951,0.1154471993442371,0.1298585083492559,0.1215065466155924,0.103673473442851,0.130264982195766,0.1223845402326796,0.1119426445158068,0.12864656143569,0.1236877674532176,0.1128624536985969,0.1294561761456656,0.1199996888886691,0.1021124365113073,0.1274005237149598
1,13.049368,0.2139654046083737,0.210040275429328,0.217916162128241,0.2829059538594909,0.2739827502561369,0.291594746568083,0.4631643731982786,0.4511039042318311,0.4757968077671489,0.1838110432509499,0.180340838951847,0.1872121767322004,0.1326406309922103,0.1303340196577639,0.1347057657741178,0.2622030669163158,0.2562251794417892,0.2673089823651486,0.3393826624441607,0.331063921765352,0.3473522925922539,0.1832373004875215,0.1800512688147627,0.1863622023999203,0.2031257651675138,0.1959076936594019,0.2097164161184269,0.1827943192918977,0.1764528956803423,0.1869171262766286,0.1225788971066196,0.1155314348084446,0.1281272928483502,0.2738078622458337,0.266664866626975,0.280937734855344,0.18319494198609,0.180068347116258,0.1864732862357838,0.1324148878716804,0.1302769319719389,0.1349482854098206,0.1642380886612099,0.1567050924449654,0.170680678735899,0.1231912683291628,0.11965154054546,0.1266813886233453,0.1231838088061165,0.1120592345431583,0.1291371470641386,0.1632575664407675,0.1557712518657973,0.1696553027428709,0.1816658876330234,0.1783592129474822,0.1839389540686834,0.1194405280956364,0.1085488822349814,0.1275991356397013,0.1635200302722421,0.1528565884284904,0.171009447461534,0.1194155965767496,0.1130167114011778,0.1242278554437991,0.1184033343536976,0.1072454855745129,0.1258202411518191,0.1640433764345758,0.1562868894562169,0.1709604861387879,0.1230419485378076,0.1194158558904578,0.1262745491105505,0.120348350120749,0.1086030717353098,0.1280028240230511,0.1196473533397808,0.1106554917799033,0.125215824466442,0.1602761656648741,0.1513806879093187,0.1656820016629748,0.1177936313437663,0.1075103203897916,0.1236832782035895,0.1149437668382465,0.0979302099447094,0.1240930288506106,0.1168994907983967,0.1058702685495965,0.1229281372305632,0.1185800502166427,0.108563071475186,0.1242677508765969,0.1133220133991553,0.0952400524772761,0.1215921806835152
2,13.098736,0.1991076853885167,0.1952010400285966,0.202859692230297,0.2785697479835715,0.2690872936602615,0.2882042264888022,0.4316550126139352,0.4200710399832696,0.4419476020402875,0.1741173003077561,0.1704043016712111,0.177607538083401,0.1249308029992995,0.1226053500982616,0.1273242982501942,0.2502589380855279,0.2445252251047505,0.2557405541244152,0.3233654278665536,0.3144091992492483,0.3321868296956837,0.1735056533454059,0.1703341447470152,0.1765683438314724,0.1895231374871413,0.1832058801082177,0.1958814287400049,0.1735896033280807,0.1688039324645913,0.1771584113076455,0.1165296023671282,0.1104108399141202,0.1218472015829486,0.2652634589928211,0.2582939552835084,0.2722550415875118,0.1741632665278233,0.1702780283409388,0.177418796316156,0.1245413982158889,0.1223068905812978,0.1270084036018809,0.1572508992680378,0.1495285403071582,0.1644091552764958,0.1167196092868121,0.1130593768911788,0.1204315928418441,0.1148264636297563,0.1045797677495724,0.1216532568247208,0.1568558199910125,0.1494782423331088,0.1632052835245781,0.1720641778525465,0.1689292676876486,0.1743929878974233,0.1131211138973925,0.101902763109728,0.1208160072745467,0.1564218479174626,0.1474100148584397,0.1630143389495076,0.114043431138121,0.1080396976841158,0.1184255424890702,0.1123477927637,0.0993077193005977,0.1193516290685715,0.1568099019236123,0.1483683479949121,0.1639813236130229,0.1165835510810697,0.1127705135713504,0.1201711576206045,0.113793007161703,0.1000652985903198,0.1207248467317032,0.1128477694054274,0.1042650983599524,0.1185005769660284,0.1537562198768208,0.1451894350986387,0.1589636710402448,0.1121647115523873,0.1013789848598483,0.1175783561935979,0.108883105892918,0.0898275444073262,0.1177885540105252,0.1111557225502861,0.1011421167657294,0.1173466834732597,0.1124663298325816,0.1014732085312677,0.1183615838951773,0.1079356911562281,0.090420559648988,0.116039415746479
3,13.148104,0.1844776752536589,0.1806768821049381,0.1884159511932876,0.2712419640279369,0.2622257091229645,0.2801716661306316,0.3996690160101243,0.3867535965954728,0.4107835695698604,0.1643169946120012,0.1608785903219356,0.1678684703020571,0.1175709011175632,0.1150257658440353,0.1199365614806508,0.2378092701407787,0.2324399923189266,0.2429444787689169,0.306391172783244,0.2975891855613741,0.3151668833689322,0.1642298206535871,0.1606658734091939,0.1677240117830278,0.1758908519655935,0.1695255914412899,0.1823095289556868,0.1635367481305129,0.1593577718532393,0.1665645494815467,0.1113165890246599,0.1052227229119089,0.1159963134300313,0.2552910131881083,0.2486262211810932,0.2623070327210028,0.1640029156675171,0.1604024678756436,0.1673684420334713,0.1171135957723983,0.1143261405322441,0.1197067928904984,0.1512190453061643,0.1436049432258848,0.1575558533143192,0.1105660664438065,0.1068815734766824,0.1141648707259182,0.1084108389899545,0.0955954876761444,0.1152467860531789,0.1500743079386418,0.1428166545640124,0.1555773944218287,0.1623393520893447,0.1589590107654699,0.164582311449497,0.1074091665210296,0.0944063186814645,0.1144015130167367,0.1484664054253165,0.140962520924885,0.1541133074420179,0.1083786786460958,0.1027105091070289,0.1128149597634124,0.1055860779671118,0.0927200480256147,0.1133567834910514,0.1496823120952674,0.1400998036723132,0.157058704722535,0.1103756581655734,0.1064538504918023,0.1139686867969474,0.1076583290279446,0.0931207859313443,0.1148528047535569,0.1066298871462127,0.0966156758988594,0.112289264424626,0.1463279960502603,0.137767331425171,0.1516770846762692,0.1062321912025554,0.0940212393903137,0.1120079166358125,0.102285615465217,0.0849778640529494,0.1110100293211943,0.1046194530345087,0.093341066461135,0.1108417539758806,0.1067410509032758,0.0943190125301808,0.1120851101925624,0.1013686766978654,0.083621783376483,0.1102448669268498
4,13.197472,0.1705903527610292,0.1661627896380894,0.174537012969144,0.2653499068015968,0.256715740832089,0.2736605033195887,0.3685780589580376,0.35656387975715,0.3793203512360634,0.1545814752640374,0.1508361928246808,0.1584803944276486,0.1105023895551592,0.1079870509927414,0.1128112564468943,0.224506549668858,0.2191901692672762,0.2299594965206501,0.2863263387782782,0.2773943062144262,0.2948008073218174,0.1540262742416881,0.1508695051878506,0.1572792300738277,0.1633009575497253,0.1561141409567121,0.1695043107382499,0.153646403074933,0.1505757025981035,0.1562901599109811,0.1056379370127625,0.0996393015390364,0.1105634788569862,0.2454050858045297,0.2392343641708992,0.251459339339199,0.1537689080687225,0.1497213238033257,0.1582810934124917,0.1096345137992231,0.1065408418030386,0.1124506965924284,0.1451807188866744,0.1375339852524039,0.1513241756193607,0.1047923238723042,0.1008778895130199,0.1084591950765309,0.1003422763885062,0.0867458561532561,0.1081296185766877,0.1419049599615995,0.1347952307847333,0.14786647092183,0.1522113367125547,0.1488702863238546,0.1546837183734906,0.099953023488117,0.0869226019578111,0.1077337345492788,0.1415359179732362,0.1345087478655127,0.1463261976992847,0.1027693339191441,0.0972576854508646,0.1075034786286741,0.0994675311677752,0.0857211828210967,0.1070832270864043,0.1421262904256519,0.1319005706362951,0.1494355244378671,0.1042978902245467,0.1001715475458383,0.1081086632981454,0.1004014615477616,0.0856494326912286,0.1083057388059825,0.0999942794899162,0.0880298278671855,0.1060599251759699,0.1388697651686796,0.1293011178102901,0.1439887119920228,0.1001155038455284,0.0882319680121976,0.1057923628862499,0.0952708789575563,0.0770582549601044,0.1045807279944058,0.0982202024199772,0.0830680487494627,0.1052227503794077,0.0991189491140967,0.0862881780504367,0.1059415032050978,0.0951174194514485,0.0759741856558076,0.1039753001302461
5,13.24684,0.157874898123484,0.1535617421336888,0.1619530294615453,0.2586347984085115,0.2498483369535822,0.2669460658571007,0.3372170114275937,0.3257856812586293,0.3470292457115835,0.1464797547480806,0.1428963571277941,0.1500046761765926,0.104131334659716,0.1014632992019715,0.1068186188233872,0.210722128462851,0.2052501718482267,0.2162616499263227,0.2661556009378219,0.2568647329978692,0.2748582565049764,0.1445817831421659,0.1410801324382006,0.1482373535409323,0.152237776614406,0.1449165114072109,0.1582778847806979,0.1441643108281813,0.1414689631415467,0.1468758731221411,0.1003360600522398,0.0939518923220855,0.1049329571450102,0.2343915699197299,0.228319038483617,0.240519399370768,0.1447639620766051,0.1394084212059058,0.1492821769839658,0.1027654938585547,0.0993814526010875,0.1060640563305227,0.1384364372190195,0.1318899159137193,0.1438077056304433,0.0996399288287333,0.0960641260042576,0.1033989137516075,0.095602405616881,0.0809257077658913,0.1029198972392549,0.1358820789331086,0.1291814352248829,0.1414907659230178,0.1428544432652299,0.1394912520055026,0.1455053049820651,0.0958318104795267,0.0821919695100436,0.1034370116683333,0.1340695693680209,0.1283321799695719,0.1390490989060196,0.0986884570318727,0.0920483203050942,0.1031314479462119,0.0936491201155669,0.0774976504973098,0.1019114382617169,0.133371173230013,0.1226059979780788,0.1420265866045055,0.0986020834048647,0.0942952533980043,0.1024527522648214,0.0945363400378694,0.0786915053849179,0.1023544638086829,0.0947818164673633,0.0814123518934837,0.101637534390879,0.131593349555513,0.1230418553933813,0.1360113538384063,0.0946396276313309,0.0803575359179697,0.1008090923342752,0.0898787807588363,0.0676532747177304,0.1002569720426312,0.0930540670466008,0.0785347105247661,0.1007293870485193,0.0948442458878505,0.0815646425661126,0.1010503295404066,0.0901297481275691,0.0714492418910502,0.0988589561240565
6,13.296208,0.1453888862534577,0.1405239048913045,0.1504009922843252,0.2519531281254956,0.2427969990483391,0.2609292856638027,0.3067333693630748,0.2964754762079003,0.3185457911851306,0.1392265765037992,0.1353795892614421,0.1432714531220311,0.0984215510176453,0.0951496548371689,0.1017201616200207,0.1982501884059297,0.1929862432157268,0.2035370162731661,0.2444801189324504,0.235664629373177,0.2531386968840775,0.1357901425652876,0.1321204595462126,0.1393225903633101,0.1413214597294609,0.1333351439819279,0.1473024827343695,0.1356066745304794,0.1330214810256202,0.1382838425449403,0.0952308909381162,0.0873027709148602,0.0996921750947789,0.2232046035186257,0.2166993349695078,0.2291001767618025,0.1362922740692497,0.1292496131336633,0.1414484835529601,0.0962809266001597,0.0921990658551436,0.0998437343328044,0.1339129930990856,0.1269800723554681,0.1396655125321474,0.0948409915854064,0.0905498229972136,0.0986658509818206,0.0902745923651914,0.0743397947843023,0.0975191321477881,0.1283498776388157,0.1214655570868548,0.1341808385926935,0.134261475655524,0.1307677363413889,0.1370114101748675,0.0893254373869826,0.072743602338071,0.0975453724213869,0.1283985071503353,0.1227310074641928,0.1323049499177396,0.0929298879200266,0.0858918680565389,0.0976522665930535,0.0871953806770011,0.0680498969694463,0.0963340336444653,0.1285007172879613,0.1159487989738429,0.1372241893778485,0.092726254454925,0.0874754944746963,0.0976055500580271,0.0890794954183709,0.074501905329901,0.0969533114364711,0.0888501147258058,0.0744532559223713,0.0963659864726115,0.1254968977063705,0.1176993472153655,0.1303064140132101,0.0891660439119869,0.0743028041884413,0.0962007423569606,0.0835876108057922,0.060827043000712,0.0938883207663233,0.0867642504587849,0.0703796801320856,0.0955343963317929,0.0892083913871576,0.0754325336395692,0.0956386174790256,0.0839422173506738,0.0649245439945817,0.0933593634779004
7,13.345576,0.1349666086401119,0.1292640347295244,0.1408632226582078,0.247493307756303,0.2388171227570435,0.2556633098577548,0.2801009851679301,0.2697179794822138,0.2908093576367584,0.1336917058258043,0.1295144892363405,0.1377990557130098,0.0936942641829839,0.0898784416079746,0.0972793927528071,0.1860361263470844,0.1803912430066047,0.1913443025205984,0.2233077807750936,0.2138306802711536,0.231102548114835,0.128100539349385,0.1236266477628879,0.1321282519825311,0.1324370175683141,0.1230858238261882,0.139171188999067,0.1275878074691208,0.1244971267625985,0.1305540649056952,0.0921341250799025,0.0833013879262813,0.0966296750704272,0.2120921488269581,0.2061870713136941,0.2175284577919206,0.1275623655209381,0.1199794863508711,0.1341944772174394,0.0908496610895525,0.0857971754167216,0.0957769898529788,0.1308284732835091,0.1246274511820574,0.1358286824736664,0.0914372268134414,0.0866710611649072,0.0958627330777253,0.0856466562425749,0.0673082631190739,0.0936116246078423,0.12204385387989,0.1141580785693643,0.1290665805612844,0.1256920494220804,0.1205590430544291,0.129192535248764,0.0863294948329095,0.0692952467773848,0.0947065672658528,0.1217240297202054,0.1162289383643799,0.1264098772888,0.0894633854527161,0.0818190092389236,0.0946935009429899,0.0836273351623657,0.0634341112553383,0.0929977774788407,0.1229854200843065,0.1082979873988999,0.1315288721857148,0.088348279167388,0.0821924240974358,0.0939195391966424,0.0862798096390579,0.0700213208002766,0.0938901545679612,0.0854296917719032,0.0685675111757952,0.0935006099050046,0.1194808440456921,0.1103311987487873,0.124715338693779,0.0850444602135458,0.0697128310038585,0.0931589334613842,0.0810098713823036,0.0591048902904375,0.0918462733362038,0.0837021311648801,0.065351159392344,0.0928645998229161,0.0852242286996148,0.07031502399628,0.0926353856515612,0.0802806878277526,0.0580501986566071,0.091039357504957
8,13.394944,0.1265772660997442,0.1191116607765481,0.1342529936140423,0.2420280254187521,0.233668285220408,0.2502510225436182,0.2536784671831759,0.2439142083307637,0.2644500541707105,0.1289802109830999,0.1244826809545816,0.1335745273232173,0.0903726440155012,0.0850642255637374,0.0957178731663769,0.1749540867975417,0.1691784972078251,0.1807925848510207,0.2013136907466064,0.1936855547740578,0.2089007638448905,0.1211067777579924,0.1145979739461919,0.1267201882021732,0.1249727195553495,0.1146891256823227,0.1330271511894429,0.1204791715004355,0.1164932074069316,0.1240426471713627,0.0886259454062064,0.0764925423723825,0.0947468799914934,0.2007018056808543,0.1954604454693487,0.2059994540686595,0.1211695623811211,0.1107352924064009,0.1291363831070809,0.0866818254658807,0.0791996035038438,0.0935456887042536,0.1279479575878426,0.1227038025858992,0.1328443300126669,0.0882733873751099,0.0817408248965987,0.0942365756039094,0.0849877533182359,0.0665783510472137,0.0943056796800754,0.1176516570353696,0.1083102548711466,0.1251319533653675,0.1190928523597553,0.113059935617036,0.1230044991667546,0.0852143080130163,0.0663525890956056,0.0936183769631931,0.1168768214630104,0.1113377284391677,0.1219696131109565,0.0863641601134541,0.0761274656366064,0.0934060632212435,0.0815189018407391,0.0589546677034327,0.092230473897347,0.1176089221218527,0.1023542290775189,0.1272237856531037,0.0849675692416426,0.0761582946506402,0.0924542116888239,0.0840119076717046,0.0675833257320791,0.0925574332662987,0.0839597952597319,0.0674378289981806,0.0929848955142861,0.1140985320341261,0.104097150643328,0.1201278853708276,0.0840656710684424,0.0689655926069673,0.0928969393555324,0.0801512088812907,0.0561521592844811,0.0913144809134548,0.0823843189954403,0.061812620783336,0.092379672547079,0.08280823528011,0.0678427737607075,0.0914795328809961,0.0790076852619439,0.0591287508318945,0.0900333066787257
9,13.444312,0.1180433944595591,0.1080782409336952,0.1268827517544248,0.2392347312250827,0.2305865261561074,0.2484637918972945,0.2331567624649608,0.2219096313224002,0.2444291462006106,0.1252269495540044,0.1200036173652365,0.1300370377514196,0.0872791346702909,0.0809743286701446,0.092991817575058,0.1654921629714799,0.1601213376559522,0.1711366152361393,0.1833999509852737,0.175779569783835,0.1907616505302405,0.1146980529093002,0.1068107053393012,0.1219005154478586,0.117515119611243,0.1054840756299622,0.1267863082106629,0.1138715655122891,0.1077413150394564,0.118562188796114,0.0858307267197266,0.0741294466885897,0.0917899893654484,0.1914455346806667,0.1859069850692727,0.19677278331503,0.1148360064844598,0.1012854308920306,0.1242204269038597,0.0828692369909737,0.073600791817433,0.0904907749328539,0.1246452554869647,0.1187169633939323,0.1296631511061874,0.0860556580034237,0.0781544373274373,0.0925200358024785,0.0824165150618355,0.0616821694084242,0.0916246171401947,0.1117764402305916,0.1006106337854663,0.1204508323671715,0.1114169771567979,0.1039621445633843,0.1169771816538306,0.0816860672731926,0.0667437935010433,0.090229273997015,0.1110760418522026,0.101943378780173,0.11745029140618,0.0841167319882117,0.074154107524933,0.0912537607459741,0.0797426577737019,0.0591294771756556,0.0903136241183085,0.1133111151192369,0.0942796905562101,0.1232252359211978,0.081511263555168,0.0705065716248164,0.0907215141616497,0.0812894651668015,0.066303760842533,0.0899478879316191,0.0823359940765651,0.0649996771084449,0.0918292730408698,0.1081209638270409,0.0954594186211759,0.1150067405303147,0.0800741561699225,0.0627526523685879,0.0895823730710685,0.0781542264166188,0.0570681759658112,0.0896401375888007,0.0782440673338775,0.0566406634677273,0.0894901424720782,0.0800769284188073,0.0642031033791224,0.0888340281266466,0.0760840909293681,0.0546986233210042,0.0878382402904989
