bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_mpq,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_mpq-,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_mpq+
10,14.077464210526315,0.0726955584705646,0.0704240457151699,0.0748591647358094,0.1279953557162325,0.1213583630197938,0.1334619013754979,0.1450949845056805,0.1390820326391283,0.1519200193662527,0.0735634704456135,0.0711768128106493,0.0758310191930851,0.0560166392633216,0.0540630514710697,0.057915250243397,0.0775545772765192,0.07450406452457,0.0804970605740724
11,14.185210631578949,0.0675617804118558,0.0651096032147309,0.0698727530704535,0.1228636949729658,0.1163084799828617,0.129271212082844,0.1610651651259633,0.153634259674802,0.168838658977347,0.0696761458883661,0.0672549290492425,0.0719944047795573,0.0525624443890845,0.0505259395720673,0.0545655939160302,0.0756314274663246,0.0723351376295561,0.0787802526937943
12,14.29295705263158,0.0622501862860148,0.0597948658944658,0.0646911689902692,0.1201757462891393,0.1131364544284745,0.1270216371923609,0.1886995663285997,0.1772327894610579,0.2006616628400719,0.0663190092314829,0.0636796706504256,0.0691953851426891,0.0501088353695945,0.0477060786394258,0.0521873361265893,0.0743322829684574,0.0704685397050525,0.0779784650686906
13,14.40070347368421,0.0574644577012488,0.0548527786965208,0.060211647110979,0.1222236781442747,0.1118748428849779,0.1320819853795495,0.2248373587151023,0.203926552005618,0.2451660759156076,0.0644465612984956,0.0606866494867111,0.0680333605968523,0.0492447876899421,0.0461341912760551,0.0521457121443828,0.0751808739434767,0.0699686827732873,0.0800319015966907
14,14.508449894736842,0.0542162474868707,0.0510856522123442,0.0574473355057364,0.1243123900008475,0.110217983781733,0.1376443414911254,0.2638773108291106,0.2297783623264885,0.2984644419053999,0.0650310421456963,0.0586872186798336,0.0704901777591282,0.0496248555089863,0.0450232908345245,0.0543438612726518,0.0771918864317471,0.0688864847587284,0.0847078487936879
15,14.616196315789471,0.052056081166795,0.0477492515754786,0.0557061492597697,0.1291689082124575,0.1116673349774332,0.1456977593448044,0.3127731518329776,0.2593167326426294,0.3638523917237438,0.0670856394696902,0.0587708948768301,0.0743537145684724,0.0520673962384239,0.0446630758375848,0.0584752655991354,0.0805656726823872,0.0662464810898024,0.0921575302232649
16,14.723942736842105,0.0493351129449984,0.0447677618541938,0.053483012493817,0.1327405314316373,0.1069807997910082,0.1566423588548286,0.3506047140322247,0.2798206231502229,0.4254199441360728,0.0675466866725147,0.0560649381308614,0.0779609553094709,0.0537202806908974,0.042644019274703,0.0619132618085954,0.0815226043763032,0.0625948523289753,0.0959341521397291
17,14.831689157894736,0.0469443416761142,0.0408128698316948,0.0523394389520049,0.1357368692554763,0.1059802726414561,0.1601122238439934,0.4012991305948884,0.3084262372562624,0.4947648309081146,0.0683481319455581,0.0559164624126172,0.0791728383796279,0.053759652825724,0.0418342683684765,0.0633734335194049,0.0794316679382588,0.0580934419848446,0.095556980985455
18,14.939435578947368,0.0451656444352226,0.0354898952433804,0.0524599177363649,0.1252136857191846,0.0990344753480994,0.1490409311043878,0.4362886728402647,0.3220718047198082,0.5486232249288936,0.0649002104209004,0.0513877112565192,0.0759116498789225,0.0528213435315076,0.0420443093434482,0.0621173637873631,0.0739807973922814,0.0556507695017519,0.0874051234184189
19,15.047182,0.0421778172468045,0.0306810630831939,0.0512795557515191,0.1131311323576701,0.0834358536807379,0.1386206277541736,0.4398042488684067,0.3343467195385909,0.5759586419927456,0.059393036519844,0.0431359080982572,0.0722626251158492,0.0508128767218821,0.0369456441332547,0.0619774731406263,0.061927225879231,0.0473912299144993,0.07610654540753
