bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_500c_mpq,T_mw_hot_gas_500c_mpq-,T_mw_hot_gas_500c_mpq+,L_X_ROSAT_obs_ce_500c_mpq,L_X_ROSAT_obs_ce_500c_mpq-,L_X_ROSAT_obs_ce_500c_mpq+,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq+
0,13.0,0.23089729074884996,0.22824831528267145,0.2336191162179557,0.2760142875212189,0.26981084599839056,0.28230712598904206,0.538080085369164,0.5277347837610811,0.5476964977080164,0.1835439827735953,0.18154946421308715,0.18575004635493944,0.14864319077233779,0.1468589556370233,0.1504365981343209,0.24953794166735377,0.24643792013982815,0.25287208711830556,0.4380526865451271,0.43072734586215616,0.44599750809367544,0.1282392560926759,0.11847371722392282,0.13286125930976234
1,13.076400526315789,0.20382727242176338,0.20110504882870753,0.20629543744071888,0.2690800904970362,0.26310104860373,0.2750630263147895,0.47435306030613034,0.46530528705516094,0.4832477425786136,0.16442320119720064,0.16223147856006337,0.1666877657047696,0.13407789749627308,0.1324925269764006,0.13560356306389493,0.23610941451914802,0.23302677208946515,0.23949880232947202,0.39773901756848973,0.3901175449657693,0.4051339010561955,0.11914130975694937,0.10925845618962257,0.12373780550475708
2,13.15280105263158,0.17803902622254353,0.17556248172274505,0.18063932278440442,0.2623374361971602,0.2561425498179479,0.2688393462812788,0.41460632249376567,0.40662168984547353,0.42284492141377156,0.14729508934496688,0.1450084526497728,0.1493452731088176,0.11967655290823481,0.1181507779154154,0.12119890255226888,0.22151804190177335,0.21825564953792329,0.22481124081031006,0.35499022975336714,0.3469186818006044,0.3624851921116624,0.10905397814452242,0.09742216040640915,0.11364151473368939
3,13.229201578947368,0.1547161923510224,0.152267881901709,0.15712801252605996,0.2555408947430857,0.24982296886318775,0.2609498772466079,0.35861906814234346,0.3503549385017068,0.3663455856627762,0.13223658822345438,0.13039188002175492,0.1342921814031186,0.10714167055578425,0.10542466458346221,0.10879899544046528,0.20669356623078194,0.20290813918175463,0.21011978310700904,0.31357363563688256,0.3057510414495115,0.3205900407614937,0.09913401062057708,0.09023034240250481,0.10377659558554055
4,13.305602105263159,0.13506218030610256,0.13288371594815182,0.1371681307745598,0.24971222638181528,0.24469877423788947,0.25493039287888763,0.30914958445643226,0.3012718464967366,0.31680939127834984,0.12078481592551915,0.1185646586087426,0.12277135654573541,0.09695701359702613,0.09522100268753697,0.09862486103211417,0.19244747057504008,0.18869754159591884,0.19629372896357183,0.27426857336770927,0.26720967095942477,0.2818351509346098,0.09077943670995142,0.07913554996915916,0.09520503729825636
5,13.382002631578947,0.11901984461579398,0.11673715957958951,0.12118779961692058,0.24420969609325857,0.23866685885695516,0.249416740736799,0.26742594299268807,0.2598781690111084,0.274591538953789,0.11245243356129495,0.11014892068207983,0.11469873762221088,0.08899852912049622,0.08719529644572697,0.09093608444155303,0.17997485765105575,0.17632813654303645,0.18336461872191118,0.24017864415136156,0.23397971562526135,0.2479611129312474,0.08363421246340583,0.07319713874386208,0.08830750391543327
6,13.458403157894738,0.10626764771162073,0.10391661476862486,0.10895114757915428,0.24018091961683666,0.23483100775758498,0.24598740848683648,0.2316264147223222,0.22451362724137552,0.23879451982881797,0.10722359738104281,0.10504908966757999,0.10944757032800578,0.08333049117400607,0.08131847644419081,0.08542034979267177,0.16858593319093948,0.16492543619151642,0.17229950022758908,0.21078461956823663,0.2033070588427158,0.218132911011303,0.07849680065718112,0.06751931483674702,0.08316256516473601
7,13.534803684210527,0.09712318735425829,0.09413571214166391,0.09986529739139481,0.2371005942452304,0.2322854012833158,0.24222709223773084,0.20161148104272764,0.19495806247668554,0.2073717280268012,0.10428212939239881,0.10185213479496946,0.1070196222443451,0.0792600768418456,0.0765029143934351,0.08154790719525773,0.15834630382216985,0.154577554375834,0.1619334758769393,0.18606815178844144,0.17880456812855736,0.19279543604425947,0.07441609676525698,0.062177700174015776,0.07905631809198953
8,13.611204210526315,0.08967249755913087,0.0861138052220464,0.09278979122376566,0.23425237079931543,0.22843902098763777,0.24028535869023251,0.1781591923752521,0.17131338100684232,0.18542619185736184,0.10248313282129481,0.0998113567208906,0.10504935892577491,0.07533004671090535,0.07196570703438213,0.07819010014672718,0.14823881298597416,0.14478458861119706,0.15179696597554582,0.1644031562632396,0.157124058122583,0.1708485818014846,0.069962885479749,0.05620104951351526,0.07484373447829754
9,13.687604736842106,0.08352639110478682,0.07984172830228263,0.08730744508128786,0.23127831005905053,0.22570078241119698,0.23734857144471744,0.15931242602840395,0.1530383684412954,0.16579200137889308,0.10145915185309935,0.0989168152935044,0.10399199636386425,0.07165879608098868,0.06878603155467392,0.07443212832644826,0.1382219388280616,0.1344277789547992,0.14175650424556235,0.14838626086910434,0.14115366410504185,0.154947189084114,0.06610205899834862,0.05309884737116015,0.0709491221112369
