bin,M_500c,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_corr,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_corr-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr+,M_hot_gas_500c_Y_X_500c_corr,M_hot_gas_500c_Y_X_500c_corr-,M_hot_gas_500c_Y_X_500c_corr+,M_hot_gas_500c_Y_SZ_500c_corr,M_hot_gas_500c_Y_SZ_500c_corr-,M_hot_gas_500c_Y_SZ_500c_corr+,M_hot_gas_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr,M_hot_gas_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr-,M_hot_gas_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr-,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr+,T_sl_wo_recent_AGN_500c_Y_X_500c_corr,T_sl_wo_recent_AGN_500c_Y_X_500c_corr-,T_sl_wo_recent_AGN_500c_Y_X_500c_corr+,T_sl_wo_recent_AGN_500c_Y_SZ_500c_corr,T_sl_wo_recent_AGN_500c_Y_SZ_500c_corr-,T_sl_wo_recent_AGN_500c_Y_SZ_500c_corr+,T_sl_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr,T_sl_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr-,T_sl_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr+,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_corr,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_corr-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_corr+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_corr,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_corr-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_corr+,L_X_ROSAT_obs_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr,L_X_ROSAT_obs_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr-,L_X_ROSAT_obs_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr+,L_X_ROSAT_obs_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,L_X_ROSAT_obs_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,L_X_ROSAT_obs_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+,Y_X_500c_Y_SZ_500c_corr,Y_X_500c_Y_SZ_500c_corr-,Y_X_500c_Y_SZ_500c_corr+,Y_X_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr,Y_X_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr-,Y_X_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr+,Y_X_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,Y_X_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,Y_X_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+,Y_SZ_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr,Y_SZ_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr-,Y_SZ_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr+,Y_SZ_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,Y_SZ_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,Y_SZ_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+,T_mw_hot_gas_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,T_mw_hot_gas_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,T_mw_hot_gas_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+
0,13.0,0.33229798297804747,0.3301362094607946,0.33460769769636506,0.428196891363165,0.42620282978062635,0.4303668354507821,0.9096023114741771,0.9090556775540473,0.9100392234400677,0.8892318082847536,0.8886604794572689,0.8897718496988914,0.19643763499281697,0.193586041753814,0.1990653367685185,0.5861505696928464,0.5838294576941244,0.5885801555494055,0.3246478414690367,0.3220795214550694,0.32719201880980286,0.6941859775730218,0.6927938550430558,0.6955016341229076,0.602233156258159,0.6002344724112897,0.6041773222515308,0.722792624840376,0.7210790053502832,0.7246632887986876,0.47324287710882357,0.4702266826121772,0.476133018950763,0.4697063489634661,0.4676212394737537,0.4715567824927533,0.45326534324354606,0.4514614176579482,0.45527456133599503,0.23958019510806985,0.23740045283417988,0.2419276032041961,0.7182380362873335,0.7165544827104783,0.7200530170371172,0.9439750996312346,0.9435454635226049,0.9443762775261081,0.4683829585251439,0.46617361622789677,0.4706576521917546,0.655885056088112,0.6537385021338374,0.6579740101001444,0.6232516010175991,0.6216430263653518,0.6248855854296705,0.6401736340131451,0.6376566892645076,0.642428674909553,0.3701633518784654,0.3674767669564998,0.3724144272164868
1,13.093647789473684,0.37428687457709064,0.37180691291611284,0.3765991005261196,0.4352419214975882,0.43289827796830616,0.4374313707160662,0.906247624805514,0.90563774120487,0.9068308417744922,0.8943356922121166,0.8938030753857673,0.8948783549665651,0.2296463030585139,0.22683145838697696,0.23220319535491427,0.6007750802287533,0.5981600485478622,0.6032020247124678,0.3193301156211258,0.31636151887305475,0.322327687067192,0.7312676292810464,0.7301158996962068,0.7325905996761016,0.6246646366149117,0.6226271200014156,0.6267930814954326,0.7167252568258611,0.7145668369419736,0.7187120659629799,0.4534197568579812,0.44988328735809074,0.4571578667227953,0.46564271276844127,0.46333014766056585,0.4680092392081997,0.4592864505700365,0.4568527250379309,0.4613111439057594,0.2522333885365312,0.24991155464479148,0.25453174087228997,0.7143544999352969,0.7123619904712138,0.7164170387236698,0.9426517970262955,0.942148908314608,0.9431623394728368,0.495521060126334,0.49310667889942866,0.4977791986848348,0.6486744728727227,0.6460520893982301,0.6513899204929647,0.6406937409825247,0.6389284477083776,0.6424290089194364,0.6502556074815965,0.6475808317676233,0.6529332514842396,0.38335469509910897,0.38043274688069234,0.3860821551870649
2,13.187295578947369,0.4154917673226639,0.4128268007730843,0.418030049765097,0.45110357354572594,0.4485677177558623,0.45357651052446457,0.9046440357017509,0.9038380778242332,0.9053861735791165,0.9000123081311742,0.8994764471912612,0.9005977152987976,0.25877328071533146,0.2559350436396176,0.2616278416820539,0.6274859197173157,0.6246400901725526,0.6302117648692048,0.3211502093473675,0.31724560711356625,0.3247794067954094,0.7634254098622362,0.7622231283471077,0.7648465882319028,0.6460109529885896,0.6433655375531273,0.64853875923905,0.7101914230224731,0.7075204924645178,0.7129766061718703,0.43887420483870043,0.43449172675340464,0.4432477682476357,0.4708784507496364,0.46831006056527547,0.4733677016594609,0.4722017168619882,0.470009244756117,0.4747806938051899,0.26384858146815443,0.2612290394387739,0.26628640814703497,0.7137036076199907,0.7112185044038463,0.715983398038675,0.9416272962294365,0.9409248696090089,0.9422584776317834,0.5164445632949397,0.513895970348856,0.5189597153768769,0.6511282408510188,0.6477821415507693,0.6542043156604198,0.6540244260406776,0.6520484257623732,0.655764591984419,0.6682415721032753,0.6650495692389575,0.6709453078880162,0.3916445060009216,0.3884740875585818,0.3948641550009858
3,13.280943368421052,0.4496428308968926,0.44641151443650723,0.45277113172135247,0.47865903999296855,0.4757319092182723,0.48157701465594577,0.9044900959448205,0.9033827617849132,0.905493179473746,0.9051491967790297,0.9045248077254043,0.9057647570754417,0.2764107828740322,0.27322136404251657,0.27981057866050235,0.6661468198940237,0.6628230478955943,0.6693850528703762,0.32952501829372005,0.3251436698145392,0.33429594102559373,0.7876881327630676,0.7864075535737914,0.7888117648546443,0.6632503249286769,0.6602452837428227,0.6665037424851279,0.7030259998013602,0.6996920990953325,0.7064605908336128,0.42874362322881215,0.4233504968853978,0.43436746679394345,0.48777523093895475,0.48461177332422933,0.49066837542111014,0.4946879414254246,0.4918796686859432,0.49732792108944573,0.271513530154719,0.26863793971096217,0.27433018868835024,0.7178109917532832,0.7153195058635118,0.7204264810252679,0.9410207374132438,0.9401447349794931,0.9419307808547985,0.5265455640499718,0.5238721448302018,0.5292961130895504,0.6641333203507971,0.6602924424428078,0.6682703717058368,0.6587566288342093,0.6567625605605598,0.6608278861550753,0.6931044719670644,0.68990835365739,0.6963950112558295,0.388552575702486,0.38522211393472233,0.39175251208323136
4,13.374591157894736,0.4709756317704084,0.46691870550433656,0.4746045636600408,0.5161543390903184,0.5131112193093204,0.5194417869966886,0.9046554289474721,0.9033492790326098,0.9059262534518469,0.9082667896521701,0.9076226748707289,0.9088535803374812,0.2741217096125978,0.2703945842908744,0.27791375334393015,0.712711649552629,0.7094411012017293,0.7162304175933697,0.3410309194301878,0.3356382867133016,0.3466864716196625,0.8018320662094747,0.80045341882083,0.8030501052473398,0.6730807335550857,0.6688040312897845,0.6772769693501229,0.6940534444651558,0.6896388647769472,0.6983171577363351,0.42016993894579524,0.41257825669157316,0.4272126848289444,0.5142406756698799,0.5104910644584875,0.5181060212589484,0.5243078661899943,0.5211029038133801,0.52760898336364,0.26909395723376783,0.26596590461026753,0.272474387453694,0.7275221131733305,0.7244340145411973,0.7303521346755867,0.9403615519034024,0.9391340151895708,0.9416205290842565,0.520842933132942,0.5177712248312376,0.5238556327066403,0.685544606951852,0.6805971964702229,0.6906602611510659,0.6513205345758311,0.6487679594028374,0.6537620298536527,0.7212896036238499,0.7180483806760132,0.7248334019591326,0.36604066521083944,0.3621782160182876,0.36971710419962817
5,13.468238947368421,0.47385060645858057,0.46939411751073296,0.4784512087559873,0.5598511989528092,0.556250360738236,0.5632104660650888,0.9039158405596652,0.9019679544797327,0.9055905520885741,0.9083859006576356,0.9076118216080162,0.9091165859092907,0.2478065713967733,0.24332639969613157,0.25170795238889715,0.7603856549627692,0.756760062209777,0.7638026382793787,0.3490022605603758,0.3422481025733996,0.35553722000171273,0.8049525538285311,0.8034446865926795,0.8064103711500504,0.6742752879082206,0.6680611385900166,0.6793425995306651,0.6817089698346979,0.675674284301835,0.6871284157586973,0.4056813128788229,0.3974386568721695,0.41348850968422135,0.5466893313600405,0.5420840654650299,0.5510432893809148,0.5572519342744604,0.5536653904478163,0.5606956484357767,0.2511900023433371,0.24768924562790506,0.25490333495531936,0.7411619478618936,0.7377723470515907,0.7445776325683803,0.9392744260895278,0.9375630326785112,0.9409275580662981,0.4974668821044242,0.49397032105035177,0.5014456928332638,0.709193558326237,0.7037585508925143,0.7143542766582616,0.6300003183154317,0.6269048285269331,0.6330400072341709,0.747151286019694,0.7435350219666506,0.7508941160484771,0.3189100555653328,0.31510054023566153,0.3230733529720759
6,13.561886736842105,0.4579168752646251,0.4523917225776941,0.4633810976287891,0.6045433197604012,0.6006409336689448,0.6086170218933465,0.9012105831450282,0.8988571469999812,0.9032691610147577,0.9052179007468416,0.9042659792229942,0.9061362135800793,0.19870838706803684,0.19373245878166118,0.2034617025762878,0.8026916714324703,0.79880135045365,0.8060551594379312,0.34680992175238545,0.3382302430545002,0.3543112148871545,0.7981514443016302,0.7964749934673417,0.7999920814582229,0.6637500097753368,0.6567732786135944,0.6700096410808919,0.6660434754903101,0.658517579557784,0.672718835217725,0.3790830917048231,0.36918996792392644,0.38824778997155057,0.5786758054145902,0.5734850783153363,0.5840372894353398,0.5879846760623768,0.5840499353531212,0.5919415892005807,0.21450300404968098,0.21019444694396147,0.2188926915366123,0.7567359231700048,0.7529262401778277,0.7606699899555254,0.9372520700415781,0.9349797331469762,0.9393283396437248,0.4595448957890771,0.45502270429788905,0.4640953683430303,0.7288387649369756,0.7232776833582847,0.734896180559399,0.5965366996780328,0.5930535920995018,0.6005167559876037,0.765498667828419,0.7619717399418234,0.7690923360326616,0.24959016542070395,0.24464951340267824,0.25403881987284127
7,13.65553452631579,0.42399604219561976,0.4170432750016521,0.43024090871343945,0.6457666468927914,0.6404967356094913,0.6502387998991932,0.8952314453754309,0.8921872548283067,0.8980746593256116,0.8985973528907245,0.897532730424829,0.8996389350584052,0.1348581310767593,0.12979416907524388,0.14031177629080555,0.8363917789788176,0.8325671909407953,0.8399782289716171,0.33141909304489164,0.322800462882695,0.33968320964884835,0.7828924368599344,0.7808787387874369,0.7851921135904142,0.6430677208695024,0.6341367117894376,0.6511183787087897,0.6489380599809647,0.6391460467829599,0.6579427620648441,0.3385183911832009,0.3270075974810921,0.34912030412939926,0.6055396484950808,0.5993258533390109,0.6119699762136919,0.6132085650270584,0.608602589521071,0.6179724460539261,0.1618508912757948,0.15674980850267656,0.16718863197610104,0.7705797194200223,0.7661501499063799,0.7754890593746624,0.9332611363732677,0.9302655795469992,0.9362412652995403,0.41171960894043474,0.40638139679557644,0.41678003887972986,0.7411493855771,0.7340730878769063,0.747216364372603,0.5563899881064737,0.5513511312896202,0.5608501569003479,0.7747543405827984,0.7713408662786553,0.778245165265143,0.16545086750509025,0.1596895667998978,0.17164518620971345
8,13.749182315789474,0.37573486792401484,0.3690701887474095,0.383127988318441,0.6796931242201856,0.6742766776438743,0.6855262428981668,0.8857647074439474,0.8812401162119359,0.8897889641510432,0.8885040831405528,0.8870591535182131,0.8898278685723275,0.06801271315919455,0.06059034087867581,0.0742059764794161,0.8604486485352356,0.8569613711677911,0.8638743690651014,0.30100931353727617,0.2895599770390563,0.3122885951370278,0.7633023777500696,0.7602740604116098,0.7665373778539467,0.6140062601684252,0.6025260654958029,0.6250003367665162,0.633859436469794,0.6205000325840125,0.6461579750899531,0.2874320478109488,0.2750464118260704,0.29944559232408496,0.6245676317230817,0.6168421858776933,0.6327706191776479,0.6300668626797783,0.6245309845752971,0.6355436564649756,0.10298605082049328,0.09684935325435867,0.10902859233094694,0.7835153345782011,0.777649967227238,0.7893285938101953,0.9270384806188988,0.9218742612869841,0.9312645620037716,0.36535449391831143,0.35969241061002305,0.3718339617635362,0.7439649305326054,0.7339887178178063,0.7521438586074407,0.5186724146781159,0.5127676195801694,0.5240513832393824,0.7750002284577258,0.7710830407073603,0.7784068006703723,0.08158264169236673,0.07477666338984164,0.08861446074403787
9,13.842830105263157,0.3195742300377086,0.3113897714437732,0.3272194449198868,0.7058433569734575,0.6986195777904072,0.7121833508198095,0.8704390574758962,0.8640834598531183,0.8761626539165901,0.8746550177928281,0.8729075141738432,0.8763288183104239,0.008964178352112502,0.0014344072483867367,0.01661802056684278,0.8745930547262316,0.8708939034620693,0.8782527612883247,0.2632763500629689,0.2501532144512845,0.27542758167773096,0.7447825795503793,0.7397291297625014,0.7495944624062943,0.58092747109136,0.565648768618979,0.5952899020263491,0.6254189275356018,0.6057304410025016,0.6430087411083626,0.23396575941430225,0.21902866203392246,0.24685837385801238,0.634127546520898,0.623702759687691,0.643777974445972,0.6369026002926437,0.6308445852845053,0.6431212728410384,0.04749413695221495,0.03977841237343673,0.054586251525720754,0.7943701469699659,0.7872886743819598,0.8010018341407724,0.9179786833612363,0.9107724148732084,0.924487175163214,0.3311739737008228,0.3230504749522501,0.33905534660189646,0.7373323104872218,0.7249958049767583,0.7480706938551904,0.49278427287003934,0.4865069280769007,0.49862405134265064,0.766256053180643,0.7622100342543003,0.7698687096992508,0.01032180430274942,0.0022776340831498656,0.01774660055689011
