bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_wo_recent_AGN_500c_mpq,T_sl_wo_recent_AGN_500c_mpq-,T_sl_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_wo_recent_AGN_500c_mpq,T_mw_hot_gas_wo_recent_AGN_500c_mpq-,T_mw_hot_gas_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,T_mw_hot_gas_500c_mpq,T_mw_hot_gas_500c_mpq-,T_mw_hot_gas_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,L_X_ROSAT_obs_ce_500c_mpq,L_X_ROSAT_obs_ce_500c_mpq-,L_X_ROSAT_obs_ce_500c_mpq+,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq+
0,13.0,0.15060327942998497,0.1502989169397305,0.15088978334892508,0.18584704856216125,0.18539126434820508,0.18631686494671454,0.24526260447474912,0.2445622412806458,0.24590380451004243,0.13514538236208207,0.13489874973362467,0.13540457117066068,0.13030015816582838,0.1300720919934316,0.13053074807902731,0.20774130346680086,0.20721315894959474,0.20834653373999554,0.19628333132745152,0.19574356043805294,0.19680019099391505,0.34116069633602497,0.3374884053153171,0.34480979805090933,0.2121183041224124,0.21151965091991043,0.21269411444948427,0.29000530708399164,0.2890742596742316,0.29095791052933456,0.22145853131889665,0.22055022033329125,0.22237064198176185,0.12944852855482758,0.12885582716082655,0.12975065448037948
1,13.103992368421052,0.134251854067528,0.13399618391318957,0.13453495409963157,0.17029221365175862,0.16981896993961418,0.17075382036588,0.21434965211801216,0.21383154684683026,0.21491792502442478,0.12298951351497861,0.12273136716534111,0.12323534922925734,0.11764209400695352,0.11740371580037388,0.11787096415461285,0.18719555377030095,0.18665123784567225,0.1877404303344601,0.1701277365129145,0.16962714280621558,0.17057314169305604,0.3283497379958454,0.3246701998808071,0.3317236414323274,0.19000965361328778,0.18943983296736458,0.1905262390337443,0.2563311162941139,0.25536805203634333,0.25724571672698376,0.19633863732750134,0.19541338388691426,0.19725311713289814,0.11708883903307402,0.11630662547725967,0.11743539521988272
2,13.207984736842105,0.1216579006667258,0.12136641200504682,0.12193037305678664,0.15796644443553057,0.15748849335283469,0.15844002044412697,0.18811846078228275,0.18757914660562913,0.18865461684290552,0.11310446660926426,0.1128368842360873,0.11336246903532422,0.1072285520802946,0.1070009354405091,0.1074501563398815,0.17083175931414674,0.17027337105454635,0.171387719457444,0.15036803400270493,0.1499575202789157,0.15079481497198022,0.3201778698973914,0.3162201812365168,0.32405526968470755,0.1724793640207501,0.17196030216736818,0.1730479837003085,0.22746708950025107,0.22643484784808385,0.22851074590910486,0.17667415110252055,0.17563392998474348,0.1777312122334357,0.10654479897286818,0.1055468817020487,0.10708604895343457
3,13.311977105263157,0.11325030540925535,0.11298969759697332,0.11351735530879262,0.1488880109305989,0.14838335195662503,0.14938355855354113,0.16853357998812107,0.1679621051131055,0.16905762474194558,0.10579484730742429,0.10553310646889587,0.106036026557739,0.09928758493101943,0.09905164968932029,0.09954896370277207,0.1589512241696221,0.15840073388377895,0.1594943369185106,0.13880473313969505,0.13836283647657968,0.1392675100217488,0.31672194863110137,0.3121033488954174,0.3211918944972991,0.15992549863688652,0.15931011276987975,0.16050191065982575,0.20538007487308788,0.2042664569328209,0.2064257619481256,0.1640699654221468,0.16290382472416567,0.16511634230535518,0.09807455577970148,0.09643983243598114,0.09874303658853242
4,13.41596947368421,0.10812992188366853,0.1078514524489316,0.1084276983791105,0.14149987279485304,0.14091881182453128,0.14209002765694562,0.15569140389831065,0.1550918364657817,0.1561973040305589,0.10017663741171627,0.09993029163991389,0.10043284872866914,0.09317796538522255,0.09295926188015717,0.09342362321729653,0.15071368858956344,0.1501405023632338,0.15129392527240493,0.13450988672884281,0.13408760065299727,0.13496041924480887,0.31411622091515967,0.30958954038821573,0.3185870936043166,0.15128649599244556,0.15071700511168523,0.15187812758575217,0.1897967512624218,0.18859810665675553,0.19098448339661925,0.15737014773087188,0.1562909719187088,0.15845207604217693,0.09101056805206953,0.08907440258277702,0.09197824049865615
5,13.519961842105262,0.10503506748830391,0.10470990986677656,0.10534501783405835,0.13412227364274182,0.13336211984443688,0.13482082673678367,0.14854953832054107,0.1479169696682861,0.14910768138086591,0.09507405854353465,0.09476901548416466,0.09533162843589511,0.08800905974480067,0.08774528941109669,0.08827456583273156,0.1450231620850091,0.14439656213842,0.14567027040851505,0.13512490732560453,0.13462562492928778,0.1355972937336308,0.30838294846120196,0.30295296078605494,0.31371724288090236,0.1454251859044252,0.144753667622439,0.14603923939322883,0.17990792336350722,0.17879775359136643,0.1810593498701043,0.15492855129414135,0.15389091842407088,0.15602505441056458,0.0846755065687195,0.08188605879156591,0.0858990951150775
6,13.623954210526316,0.10240881936947198,0.10206132506829453,0.10276762937930932,0.12605648029448924,0.1251261458940729,0.12688895090534003,0.14519051357607193,0.14452112274991472,0.14575909111054672,0.08970271695791499,0.08939781229337992,0.09004623968988429,0.0829884818483114,0.08270003584370686,0.08327322794839562,0.140827808635953,0.14012504389789504,0.14146168026686484,0.13800349434257542,0.13742799536782754,0.13852826442352179,0.2958375082103425,0.2902651105828573,0.3016046400013442,0.1410657681583332,0.14036856465865258,0.14175966077734184,0.1739433384214972,0.17253433859318107,0.17537569817317475,0.15465360652377225,0.1536884501136909,0.15574153106725985,0.07861219269866543,0.07582062994338024,0.07991795557368384
7,13.727946578947368,0.09949664370877483,0.09912990561711096,0.09988449239982569,0.11804602535166828,0.11682248349479368,0.1192875103889032,0.14379061468301857,0.14307425374783078,0.14453433676744185,0.08394075836972223,0.08363763252504522,0.08424731885468784,0.0778024171949224,0.07750296848164918,0.0781024285685595,0.1368896067290308,0.13607831497421344,0.13775199243372896,0.14109333131656146,0.1404215439840765,0.14171590467183579,0.27652225974723366,0.2709181469380072,0.2819848858798524,0.1371106241375589,0.13631024558749222,0.1378496515851875,0.1704030891073448,0.16883583941638244,0.17214404014073528,0.1549926646759141,0.15397370792485607,0.15615238880904503,0.0727730318256235,0.06980169794278368,0.07394785929498833
8,13.831938947368421,0.09566606750762804,0.09527134831156008,0.0960435662040622,0.11171114397434517,0.1102537181976211,0.11303420568859487,0.14293702915194206,0.1421791149643038,0.14376067185431124,0.0780682232042862,0.07774428303519451,0.07841933620596163,0.07263744373124684,0.07231497814315534,0.07293992620770286,0.13236325427093548,0.1315355331848644,0.13319123207583966,0.14306416684344994,0.14238081689537757,0.14378935049406397,0.25113745754042616,0.24471054826379154,0.25673805494539703,0.13254175317602773,0.1316637689041944,0.1333393984715166,0.16775939694822897,0.16601226344137948,0.1693410547078933,0.1546643342919305,0.1534830109764573,0.1558646107136378,0.06721094758731139,0.06495511341675891,0.06827898096235262
9,13.935931315789473,0.09077443174108715,0.09038391451286193,0.09123951038983927,0.10732264863442004,0.10597684474355452,0.10876406850591862,0.1421832782308362,0.14122522754364014,0.1430464238375093,0.07248934873501045,0.07212162496188246,0.07285403937380847,0.06754578425934563,0.06717396072113073,0.06790652016439426,0.12720588897903512,0.1262191366100825,0.1281625710336161,0.14348674820245053,0.1426914309877697,0.14426998409978414,0.22315495106085292,0.217149937460358,0.228832943884816,0.12723863760875387,0.12618241311019207,0.1282039783872466,0.16519282879970532,0.1633605257048322,0.1671045628639132,0.15307418204815593,0.15179962873011735,0.15413874755235896,0.061926995433279175,0.05980615976664741,0.06285697926477865
