bin,M_500c,M_hot_gas_500c_T_sl_500c_cov,M_hot_gas_500c_T_sl_500c_cov-,M_hot_gas_500c_T_sl_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov+,M_hot_gas_500c_Y_X_500c_cov,M_hot_gas_500c_Y_X_500c_cov-,M_hot_gas_500c_Y_X_500c_cov+,M_hot_gas_500c_Y_SZ_500c_cov,M_hot_gas_500c_Y_SZ_500c_cov-,M_hot_gas_500c_Y_SZ_500c_cov+,T_sl_500c_L_X_ROSAT_obs_500c_cov,T_sl_500c_L_X_ROSAT_obs_500c_cov-,T_sl_500c_L_X_ROSAT_obs_500c_cov+,T_sl_500c_Y_X_500c_cov,T_sl_500c_Y_X_500c_cov-,T_sl_500c_Y_X_500c_cov+,T_sl_500c_Y_SZ_500c_cov,T_sl_500c_Y_SZ_500c_cov-,T_sl_500c_Y_SZ_500c_cov+,L_X_ROSAT_obs_500c_Y_X_500c_cov,L_X_ROSAT_obs_500c_Y_X_500c_cov-,L_X_ROSAT_obs_500c_Y_X_500c_cov+,L_X_ROSAT_obs_500c_Y_SZ_500c_cov,L_X_ROSAT_obs_500c_Y_SZ_500c_cov-,L_X_ROSAT_obs_500c_Y_SZ_500c_cov+,Y_X_500c_Y_SZ_500c_cov,Y_X_500c_Y_SZ_500c_cov-,Y_X_500c_Y_SZ_500c_cov+
0,13.0,-5.4326281478668046e-05,-0.0007211246661331,0.0006281405830853,0.2912352598597844,0.2844806516638357,0.2985331380963877,0.1051526200974168,0.1028864298573052,0.1075560432053418,0.0928986120307877,0.0909967191095237,0.0949201268421115,0.0267935122315343,0.022739499529245,0.0309481375741263,0.0236389025122862,0.0224504370706969,0.0247636931854272,0.0144715580789023,0.0137645569666877,0.0151767703060208,0.3178747926160813,0.3088048247802479,0.3265106858622763,0.2423948659754397,0.2356971600198368,0.248746169075397,0.1073591909964999,0.1050713884674411,0.1099228886920595
1,13.095847789473684,-0.0007256350511426,-0.0013255351017043,-8.103113340183032e-05,0.2127072127829604,0.2069472665242433,0.2185677480817024,0.0784448338521515,0.0765254461624456,0.0803452155089822,0.0702877782022833,0.0686114741383466,0.0719875240550269,0.011516000336305,0.0079198923361822,0.0153591235689451,0.0227843432411141,0.0218153237546189,0.0237805671882973,0.0133917199960751,0.0126883069403781,0.0140955946951286,0.224517300039306,0.2170623342116472,0.2317400991775327,0.1748434207139215,0.1696134828308344,0.1804494072802957,0.0836389152903223,0.0817003410890442,0.0854801544686131
2,13.19169557894737,-0.000898107281512,-0.0014749367874528,-0.0003136797388014,0.1484132230743565,0.1442509016875713,0.1523927215060103,0.0564214309954712,0.0549264622344911,0.057938245768072,0.0515566936372626,0.0502281281638473,0.0529002080031766,-0.0003785834816904,-0.0029161990871426,0.0022508823590835,0.022357724548256,0.021386905311955,0.0232979371085514,0.0125102873862788,0.0117979161073422,0.0131936480368374,0.1481848797299565,0.1435698935173391,0.1535504234500401,0.1210306319523204,0.1166734145520231,0.1249335321042071,0.0640443482975729,0.0624749130565091,0.0657667354295116
3,13.287543368421051,-0.0005745018254666,-0.0011264114011203,-5.496085492323364e-06,0.1007351938135719,0.0976014554208716,0.103657796166275,0.0404275007246466,0.0390989066326286,0.0416801474119394,0.0376382803604026,0.0364344686589482,0.0387199709042589,-0.0075161448403866,-0.0096923423957569,-0.0052951877479486,0.0222611616550031,0.021383052797263,0.0230970356780699,0.0118070835532591,0.0111426053057566,0.0125949339677703,0.0932232087372231,0.0896004661605444,0.0969781736167589,0.081590887071813,0.0784438676478429,0.0848636739817325,0.0494243895316886,0.0481269608956845,0.0508963957969244
4,13.383391157894737,0.000282486927284,-0.0002496565765427,0.0007841256209443,0.0673793007945055,0.0649734994863746,0.0699585938902309,0.0296578230607859,0.0286413090468251,0.0307127979070825,0.0278217264335924,0.0269622474771557,0.0287766008989255,-0.0098280017556067,-0.0117879776008962,-0.0076979593942511,0.0223859112476381,0.0214894281231465,0.0233545350636971,0.01129427639819,0.0106394535392777,0.0119965030702114,0.057543450434489,0.0543393167359797,0.060621087917662,0.0554776283304644,0.0531174339147537,0.0581255445099473,0.0391466884976391,0.0378597773713415,0.0404483765839294
5,13.47923894736842,0.0013524635361883,0.0008240181353748,0.0019190479703342,0.0457227045027583,0.0438767201394083,0.0476758280063906,0.0231214595796712,0.0221421886458748,0.024190601489864,0.0214107244846382,0.0206380899199386,0.0222547406615353,-0.0086187997853185,-0.0106710824886042,-0.0066448218619083,0.0226494498478854,0.0217415213185971,0.0238020420342984,0.0109242569829963,0.0102158269751444,0.0116434929074241,0.0372008579375455,0.0343698561335172,0.0401587903068318,0.0391859627311546,0.0369311446111581,0.0415168245153465,0.0323824517356792,0.0311795388783612,0.0336622724340853
6,13.575086736842106,0.0025590113911193,0.0020045127786641,0.0030855877729827,0.032483256389059,0.0309230450398379,0.0341579210228319,0.0192820928279132,0.0183314375850111,0.0202494012741971,0.0171073318339843,0.0164069802139191,0.0178873588108165,-0.0051863258147033,-0.0070925225883173,-0.0031338841526874,0.0229968833697296,0.0219405112077193,0.0241544755328956,0.0109174606923977,0.010221598651328,0.0116337747860189,0.0274290201377794,0.024746654579429,0.0300958967685451,0.0300256543711907,0.0276998479341604,0.0321786460221484,0.0279436366205135,0.0268306046988565,0.029238977260019
7,13.67093452631579,0.0035605018505222,0.0030497940842961,0.0041046693550184,0.0240360510581961,0.0227502184715479,0.0253885927193557,0.0167801121163587,0.0159114603113798,0.0177655795472239,0.0140454943386868,0.0133753666787205,0.01468632030755,-0.0005564930987379,-0.002368782805532,0.0010642363555016,0.0233904842588336,0.0222113106978049,0.0247228879464026,0.0109521072477011,0.0102411656195098,0.011684035504281,0.0233484413947835,0.0209481873895221,0.0258733021893607,0.0243973983212468,0.0226199775050303,0.0262762043018818,0.0249618768442592,0.0238119498925652,0.0262210734816705
8,13.766782315789474,0.0043422181821538,0.0038149021552709,0.0048880840991723,0.0187539278360271,0.0176582148343623,0.019826404072782,0.0148979793573503,0.0140844311817627,0.0157621467424639,0.0115772064352516,0.0109709106838814,0.0121745509595187,0.0041423347488598,0.0025933397110589,0.0058609222250714,0.0236098708096038,0.0223182002000535,0.0250708431008758,0.0110968148084521,0.0103643811732415,0.0118879365993606,0.0229657168128556,0.0206045280516587,0.0253684291921882,0.0209663443525988,0.0194178057234542,0.0226862901547844,0.0226719423852245,0.0215902108004549,0.0238039254937061
9,13.862630105263158,0.0048037998890876,0.0043340593516734,0.005348868161413,0.0153822528503846,0.0144405775826757,0.0163100427357106,0.0133062208029403,0.0125515652780486,0.0142140078499399,0.0096946235371098,0.0091725938965142,0.0101992463698536,0.0089338555856272,0.0074584147351967,0.0105145055587708,0.0237432200859818,0.0221098781089475,0.0255333213841303,0.0113733645589761,0.0105976563479984,0.0122414010632396,0.0243223316120902,0.0220830932081477,0.0264970581864173,0.0191541970749871,0.0179396137516118,0.0204950725094765,0.0210297776780332,0.0198421606392937,0.0223410440553768
10,13.958477894736845,0.0048979253662733,0.0043800551189426,0.0054130425017754,0.0133892647125706,0.0125881966901783,0.0142904108870719,0.0118260587919766,0.0110258513732034,0.0126054340529963,0.0081607215202992,0.0076572179314196,0.0086683007289756,0.0134748646516552,0.0119642734531191,0.0150825512188825,0.023293143686327,0.02154190822806,0.0251213688094095,0.0113817049336718,0.0104906973020792,0.0123684404308232,0.0267772457954138,0.0246840442863989,0.0290132760055242,0.0187174349142706,0.0173610852751853,0.0199823628203615,0.0194778533495149,0.0182407216709256,0.0208826940496878
11,14.054325684210529,0.0047064620742122,0.0042513172505137,0.0051863935451659,0.0123562780167519,0.0114178364122745,0.0132620670120502,0.0103370303130865,0.009617489135464,0.0110505488379086,0.0069091362967819,0.0064437279348812,0.0073345639064273,0.0179895378244468,0.0161775554988118,0.0196808213275429,0.0223845107499488,0.0206213068012941,0.02439208547137,0.0112160216373688,0.0102867283099675,0.0122370546675401,0.0304129834738137,0.0279642402369302,0.0329076431568178,0.0193739080839452,0.0178680556088408,0.0208782959896505,0.0180341351988184,0.0168136800952777,0.019387529686535
12,14.15017347368421,0.0043226364860934,0.0038651395003748,0.004777195871698,0.0119299682492545,0.0110199258721294,0.013031186395752,0.0088027290220326,0.0081528947548084,0.0095267919431243,0.0057819231370509,0.0054081154045809,0.0061561218757198,0.022266775077171,0.020368409336471,0.0242712812423575,0.0211180347232116,0.0195703442846521,0.0228501433152617,0.0109044192278251,0.0100525997634281,0.0118637580806263,0.0341705196471123,0.0315692590296665,0.0371259325256089,0.0210196476140174,0.0194701946438505,0.0227728959449998,0.0166299466962196,0.0153918942582595,0.0178925472598465
13,14.246021263157896,0.0038931941555132,0.0035054549569814,0.0042853593175032,0.0117323945822196,0.0105605318070971,0.0129514692727023,0.0074776641452611,0.0068816986131594,0.0080909728156865,0.0049405516378413,0.0045750058776981,0.0053203013815795,0.0261534115288974,0.023900654922175,0.0286671677908986,0.0201351508945908,0.0187525997460801,0.0215569553391148,0.0106766662338364,0.0098676071141809,0.0115493142802926,0.0380374030344106,0.0346875224627918,0.0413144252904441,0.023186588638613,0.0213165812296579,0.0254042322408366,0.0155520661256692,0.0144933123902321,0.0166921923120246
14,14.34186905263158,0.0034871459290799,0.0031105019968562,0.0038386062619338,0.011575536578436,0.0104157181922459,0.0129906451535253,0.0064508162298203,0.0059518221854224,0.0069742471948643,0.0043213836849267,0.004007440698004,0.0046609772791015,0.0296958571705372,0.0270485203892929,0.0324195382613805,0.0194703421192705,0.018242198165417,0.0208362971352805,0.0105727264288052,0.0097016779099403,0.011456429389832,0.0413227188476536,0.0375468781060124,0.0450388502275581,0.0254012721959434,0.0228997385394243,0.0281495781937044,0.014869949695719,0.0138336284651822,0.016001609304401
15,14.437716842105264,0.0030701709406454,0.0027276243109266,0.0034122576029807,0.0111293070818746,0.0098300032448206,0.012531518767501,0.0055851593235395,0.0051206354986321,0.0060799711800849,0.0038579314237275,0.0035611973189272,0.0041666829647438,0.0322153526456144,0.0291922742062002,0.0353547644585074,0.0194313720839987,0.018019850912443,0.020901957982199,0.0106358309164079,0.0097698199776719,0.0114876525581757,0.0436413703816078,0.0395901051914915,0.0477572185642111,0.0267742789749783,0.0240582346213645,0.0296147087695904,0.0144327073638643,0.0133778358385812,0.0156445064705328
16,14.533564631578948,0.0027394136903017,0.0024069465923199,0.0031270466696164,0.0107401768976766,0.0093965356958423,0.0121868843773918,0.0049087326751128,0.0044457319035664,0.0053812137945686,0.0035352632360881,0.0032435241121779,0.0038410150490935,0.034078219796333,0.0306481148210955,0.0376283041165314,0.0194812126941443,0.0179061729343774,0.021129690795708,0.0106808551851162,0.0097765007890239,0.011647816138674,0.0452093005358614,0.0405425879748803,0.0498034194460034,0.0279426695822113,0.024854488121883,0.0310261294134585,0.014168856632488,0.0132003193594237,0.0154415556548155
17,14.629412421052631,0.0025062379472937,0.0021315060938069,0.0028864625709917,0.0102150486950763,0.0087954682549411,0.0118457564782366,0.0043839795822208,0.00393444650447,0.0048749687173519,0.0032748625571522,0.0029545034452631,0.0035698415474252,0.0352342715581616,0.031173564831369,0.0395491076123312,0.0196322560789938,0.0177943565341025,0.0213802523554156,0.0106893990766505,0.0097333427909081,0.0116765668945614,0.0455099261397786,0.0407108527118494,0.0504662017816035,0.0280765982794214,0.0243546847072489,0.0313547661749446,0.0139451708927948,0.0127626925811942,0.0150901264948799
18,14.725260210526317,0.0022671366663629,0.001881387371414,0.0026564801889874,0.009585638809936,0.0080156980216291,0.0109476004645847,0.0039130480388058,0.0034735080357349,0.0043797099856791,0.0030219979062926,0.0026992110023515,0.0033454306285779,0.0350494360340687,0.0309247953554283,0.0393338364435783,0.0195260000862539,0.0176229026157096,0.0214234622307341,0.0106490126259008,0.0096305562753367,0.0116792639671706,0.044266385699527,0.0389880329362039,0.0498466759770998,0.0272014381373725,0.0238358874452525,0.0308120625607986,0.0135946642662336,0.0123889346595747,0.0147809375548437
19,14.821108,0.0020388731463393,0.0016383943699456,0.0024689996325946,0.0087346697212959,0.0073321817437934,0.0101829964997982,0.0035996326776206,0.0031140987881447,0.0041382973053556,0.0028269788081342,0.0024843924084495,0.0032227175576863,0.0344131313849067,0.0292568958640045,0.0392150440010559,0.01959037228292,0.0176057285876616,0.0217231212056543,0.0103828340170343,0.0092679024604524,0.0115873188089106,0.0427132291895295,0.0372595855257413,0.0488096563716113,0.0257684257910362,0.0220752001534027,0.0298405176831852,0.0132969868505682,0.0119206232534408,0.014741362104509
