bin,M_500c,M_hot_gas_500c_norm,M_hot_gas_500c_norm-,M_hot_gas_500c_norm+,M_hot_gas_500c_slope,M_hot_gas_500c_slope-,M_hot_gas_500c_slope+,M_hot_gas_500c_scatter,M_hot_gas_500c_scatter-,M_hot_gas_500c_scatter+,T_sl_wo_recent_AGN_500c_norm,T_sl_wo_recent_AGN_500c_norm-,T_sl_wo_recent_AGN_500c_norm+,T_sl_wo_recent_AGN_500c_slope,T_sl_wo_recent_AGN_500c_slope-,T_sl_wo_recent_AGN_500c_slope+,T_sl_wo_recent_AGN_500c_scatter,T_sl_wo_recent_AGN_500c_scatter-,T_sl_wo_recent_AGN_500c_scatter+,L_X_ROSAT_obs_wo_recent_AGN_500c_norm,L_X_ROSAT_obs_wo_recent_AGN_500c_norm-,L_X_ROSAT_obs_wo_recent_AGN_500c_norm+,L_X_ROSAT_obs_wo_recent_AGN_500c_slope,L_X_ROSAT_obs_wo_recent_AGN_500c_slope-,L_X_ROSAT_obs_wo_recent_AGN_500c_slope+,L_X_ROSAT_obs_wo_recent_AGN_500c_scatter,L_X_ROSAT_obs_wo_recent_AGN_500c_scatter-,L_X_ROSAT_obs_wo_recent_AGN_500c_scatter+,Y_X_500c_norm,Y_X_500c_norm-,Y_X_500c_norm+,Y_X_500c_slope,Y_X_500c_slope-,Y_X_500c_slope+,Y_X_500c_scatter,Y_X_500c_scatter-,Y_X_500c_scatter+,Y_SZ_500c_norm,Y_SZ_500c_norm-,Y_SZ_500c_norm+,Y_SZ_500c_slope,Y_SZ_500c_slope-,Y_SZ_500c_slope+,Y_SZ_500c_scatter,Y_SZ_500c_scatter-,Y_SZ_500c_scatter+,T_mw_hot_gas_wo_recent_AGN_500c_norm,T_mw_hot_gas_wo_recent_AGN_500c_norm-,T_mw_hot_gas_wo_recent_AGN_500c_norm+,T_mw_hot_gas_wo_recent_AGN_500c_slope,T_mw_hot_gas_wo_recent_AGN_500c_slope-,T_mw_hot_gas_wo_recent_AGN_500c_slope+,T_mw_hot_gas_wo_recent_AGN_500c_scatter,T_mw_hot_gas_wo_recent_AGN_500c_scatter-,T_mw_hot_gas_wo_recent_AGN_500c_scatter+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_norm,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_norm-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_norm+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_slope,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_slope-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_slope+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_scatter,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_scatter-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_scatter+,T_sl_500c_norm,T_sl_500c_norm-,T_sl_500c_norm+,T_sl_500c_slope,T_sl_500c_slope-,T_sl_500c_slope+,T_sl_500c_scatter,T_sl_500c_scatter-,T_sl_500c_scatter+,T_mw_hot_gas_500c_norm,T_mw_hot_gas_500c_norm-,T_mw_hot_gas_500c_norm+,T_mw_hot_gas_500c_slope,T_mw_hot_gas_500c_slope-,T_mw_hot_gas_500c_slope+,T_mw_hot_gas_500c_scatter,T_mw_hot_gas_500c_scatter-,T_mw_hot_gas_500c_scatter+,L_X_ROSAT_obs_500c_norm,L_X_ROSAT_obs_500c_norm-,L_X_ROSAT_obs_500c_norm+,L_X_ROSAT_obs_500c_slope,L_X_ROSAT_obs_500c_slope-,L_X_ROSAT_obs_500c_slope+,L_X_ROSAT_obs_500c_scatter,L_X_ROSAT_obs_500c_scatter-,L_X_ROSAT_obs_500c_scatter+,L_X_ROSAT_obs_ce_500c_norm,L_X_ROSAT_obs_ce_500c_norm-,L_X_ROSAT_obs_ce_500c_norm+,L_X_ROSAT_obs_ce_500c_slope,L_X_ROSAT_obs_ce_500c_slope-,L_X_ROSAT_obs_ce_500c_slope+,L_X_ROSAT_obs_ce_500c_scatter,L_X_ROSAT_obs_ce_500c_scatter-,L_X_ROSAT_obs_ce_500c_scatter+
0,13.0,11.430509931325343,11.430273247970684,11.430762042489865,1.7236892177256962,1.7227621679298546,1.7246564954736532,0.24522370590798054,0.24474146659671495,0.2457125932142515,6.757698457847756,6.7575336186064785,6.757849979187713,0.6782284846627467,0.6776217185499939,0.6788056111019204,0.14153878529249692,0.1412037321918259,0.14189186698162753,41.3733611315228,41.37269544204828,41.373996694000546,2.5066820347397196,2.504006793507018,2.509583126646212,0.6969809638540738,0.6952206133295614,0.6986507875224768,18.188213039544074,18.187864818179683,18.188546459081856,2.401944699447232,2.400627568458632,2.4033238320469343,0.32137687284742833,0.3207689089035541,0.3220001835407991,18.267968348568317,18.267659020242313,18.26827726651798,2.395002927983514,2.39367879704505,2.3962261562622014,0.3075088373695583,0.3069510333004895,0.30809373909980325,6.83744699898603,6.837311345211842,6.83758048755846,0.6711563710298892,0.6705648736055685,0.6717604867403334,0.14346279439766668,0.14313864890623773,0.14381598148769656,41.1938629588696,41.19333207554955,41.19442683522509,2.6337427184542443,2.6316825004333304,2.6359391551243734,0.5375523119190131,0.5358931260447242,0.5392070913828871,6.768671104303583,6.76842870276535,6.768924406152856,0.6802211173466415,0.679370746963878,0.681073278237668,0.22377418388288667,0.22197651347271505,0.22536858530653092,6.838738352402023,6.838598190254371,6.838878469231399,0.6663093341803221,0.6657088142879696,0.6668573673590992,0.144128041301978,0.14379980822714922,0.14448241108597357,41.42369398954487,41.422902294810484,41.424502218769234,2.4618989303986103,2.4588103006804802,2.4653707022886175,0.842912886419127,0.8406154852444845,0.8451140719991355,41.210857934286544,41.21025763077755,41.21145514155653,2.6358981935898496,2.6333833887562488,2.638231167325839,0.6228710739186897,0.6207358720005705,0.6253251004250491
1,13.093647789473684,11.590951656003998,11.59070906009634,11.591212868645945,1.7164008695414896,1.7155511935539496,1.7173057566177687,0.2192773097349221,0.21883624209029476,0.21971273178432715,6.824338887913262,6.82416397159952,6.824513454706035,0.7000814910194919,0.6995239013870582,0.7006422318720837,0.13590953857014781,0.13552179764888073,0.13629691532442567,41.60375148850356,41.60307466586692,41.604416261594075,2.475362572098984,2.472967831783239,2.4776744930444434,0.6156271824783914,0.6139235089800957,0.6173161060613329,18.41532175232475,18.41493836952618,18.41568857661172,2.4166590023942986,2.4154662483780176,2.417789138809666,0.2981193345059551,0.29748017299812346,0.29873729714870684,18.489527959276955,18.489223398156344,18.48985530615617,2.3751355600646784,2.3740071375382934,2.376258609419233,0.2780071597866632,0.2773881756927412,0.2785416905389325,6.898559828702611,6.898421784688261,6.89869628484244,0.6585929345597596,0.6580932571142277,0.659070668053796,0.1277693715946161,0.1274164230478634,0.12811504898013298,41.43781393402545,41.43731580367866,41.438329779772104,2.6138022240037593,2.6117501656742346,2.6157169096170687,0.4752571638069772,0.4736451106828737,0.4768488412695711,6.834924305540552,6.834660172334625,6.835161712355045,0.697865807526827,0.6970053304782141,0.6987156331076205,0.21070906871561412,0.20918233730192629,0.21226581927965454,6.899535395612235,6.899394639151866,6.899661147387489,0.6546761019068423,0.6541359600197552,0.6551935431694164,0.12808318597745136,0.12778353250996627,0.1284300481059423,41.64986726012065,41.649077675130975,41.65074290002623,2.430649707389327,2.4276431694531677,2.433458407141466,0.7485462539763763,0.7461553490831895,0.7508819281464103,41.4542388184217,41.453521893863396,41.45480646061039,2.610373720756455,2.608202821013117,2.6123851223087184,0.5573035490228413,0.5550437120120052,0.5597185809168078
2,13.187295578947369,11.749527856439485,11.749301490364084,11.74977214981154,1.7011863130160745,1.70037686801403,1.7020103626585972,0.1965322205080243,0.19611085242973122,0.1969403655724981,6.891780009579698,6.8915996566155355,6.891958891129938,0.7123323632372034,0.7116672726819875,0.7129209040563916,0.12969557023666528,0.12920673044406233,0.13016708696270118,41.82908088124406,41.828406985140035,41.82974866655618,2.4302552412088616,2.427709791443583,2.4324711566010473,0.5394875095771692,0.5378478994316703,0.5411134925722986,18.641313617315415,18.640978444449665,18.64173238476086,2.4134889701125735,2.4122462165003284,2.4146532436620647,0.2767983202511476,0.276208851132361,0.2774308250658918,18.707299388313317,18.706967079282414,18.707604568940233,2.342522599823734,2.3414983690886744,2.3436840079835606,0.2509508476468981,0.2503639399500661,0.25149859250848083,6.9577588509726,6.957615354373532,6.957896111201924,0.6413842279376833,0.640878204839053,0.6418779974359231,0.11321721318971698,0.1128855728407425,0.11355383138021381,41.67725677953092,41.676730221431086,41.677776064662446,2.576370524416866,2.5745710111161224,2.5782663399555528,0.4191889746905133,0.4176008264497564,0.4209083183788735,6.901572860014523,6.901312144296289,6.901813837830332,0.706134927757279,0.7053214338626004,0.707010760809035,0.19482148641120622,0.1933269657131111,0.19625506934387135,6.958470719986938,6.958323375472423,6.958605844146785,0.6383141325692258,0.6377450221057394,0.6388155961970379,0.11331228065444494,0.11301072171661922,0.11361321836038908,41.871293018701785,41.870439765416556,41.87203902220221,2.3872707063173415,2.3840968136413974,2.389923967424184,0.6592446444858171,0.6567115906925498,0.6617227613712553,41.69262795340997,41.69198925715239,41.69325204749871,2.56806833499575,2.5657669542252153,2.570165780112556,0.49500828807985586,0.4927203782892388,0.49752628003262755
3,13.280943368421052,11.905231060577556,11.90495165812327,11.905463711417346,1.6762721540556593,1.6752783802546052,1.6771803997063768,0.17796957494667498,0.17754402346845818,0.1783822414545771,6.958550263372637,6.958353134117192,6.95874405869417,0.7120775336593697,0.7114263695713905,0.7127489591335235,0.12320853069406182,0.12262219656304932,0.12382114074394021,42.04774312770573,42.04712048035896,42.04841149384165,2.3698205122987606,2.3677342847775753,2.372241299504114,0.47198438257191094,0.47021446438345377,0.47365097104912807,18.863757834591794,18.863321845681064,18.864162983284913,2.3884010469092978,2.3869920402063043,2.3897872400126166,0.25802665788908097,0.2573792229815287,0.25871489851691587,18.91989850024642,18.919544862018686,18.92023209606796,2.2965567344439277,2.295325877977015,2.2976675978881747,0.22740282229145187,0.22680597012361772,0.22793446189905808,7.01467833165238,7.0145281458527995,7.014819189844418,0.6202169138393783,0.6196903454516018,0.6207668111881665,0.10057118149164201,0.10024629812481144,0.10089884306309278,41.90995059384054,41.909438792345206,41.91047667991595,2.5177555182266165,2.515925688463386,2.5197497109038403,0.3726936984028568,0.37103767702668045,0.3741652113521969,6.967334478003235,6.9670599442937995,6.967588887557037,0.7030773023220198,0.7022338891960235,0.7040651802830328,0.17728414178733198,0.1758184953185919,0.17870494963191957,7.015220191190792,7.015081125938275,7.015372635189941,0.6178677363359228,0.6173929229084485,0.6183816404442506,0.10055723962010207,0.10022975434084942,0.10087986673730756,42.08651648413109,42.08567980198578,42.08731194650296,2.330924211057291,2.3280454312865397,2.333730354160657,0.5795034947007468,0.576866777616044,0.5820125738673861,41.923941391512514,41.92331747619608,41.924607436557615,2.505970733655724,2.503806492430658,2.5080797800508607,0.4393441989911266,0.43719186190462994,0.4415523005639064
4,13.374591157894736,12.057022005260027,12.056736158296706,12.057317758762071,1.6418956121180295,1.6408920487869798,1.6428058930094007,0.16338553525887384,0.16296053408514202,0.16381463519814293,7.023486687100487,7.023301747957969,7.023691129181607,0.7000032633287676,0.6993808173327164,0.7006583997912066,0.11635971149810317,0.1156863512287798,0.11709557564942151,42.2585500120982,42.25791230222732,42.259165201464654,2.2955777656175975,2.2932088860360866,2.2978465442453238,0.41429745961648595,0.412573797096216,0.41599463837753803,19.080526135510304,19.080080300870222,19.080934078870452,2.341818070766047,2.3404365482511578,2.3432666187586118,0.24120762142771385,0.2405170562506599,0.24190396516485593,19.126295804055733,19.12595059668956,19.12662155412895,2.2390378082651736,2.2377791655054007,2.240246622979555,0.20702998995043542,0.2064782691318201,0.20762834686489165,7.0692794452520324,7.069128516800813,7.0694272744217255,0.5972072517510971,0.5967186499199324,0.5977305012165183,0.09010767412512322,0.08975338344084637,0.09046736735947208,42.133758084161784,42.13318793457937,42.13431518055418,2.4377819257989986,2.435934836561871,2.4397197473880583,0.3359782407567674,0.33443285767607644,0.33742614163868717,7.031188062956009,7.030930388006653,7.031432874354256,0.6895922795994356,0.6887725807302323,0.6904727496316515,0.15956832785719555,0.15821476528293987,0.1609088735075505,7.06967810765917,7.069524505122161,7.069843748712746,0.5954289129582724,0.5949042842924616,0.5959611839510189,0.09002778267624932,0.08965915720973885,0.0903610622220083,42.29453603073612,42.29365302667211,42.29538248889789,2.26314973388497,2.2604596695173043,2.2661679170599784,0.5115719675392335,0.5087287631991092,0.5144900044041137,42.14641075590509,42.14581398876088,42.14708770413182,2.4245760798599756,2.4222041654391515,2.426680499980908,0.39210554619833804,0.3898861584484234,0.39439198581525187
5,13.468238947368421,12.204254370443712,12.203944138191751,12.204555301567911,1.5992717724384895,1.5983258935108775,1.60032368316498,0.15161386897656434,0.15115420497631757,0.15212338522204732,7.085895670096305,7.085667480791872,7.086106790586065,0.6794597875341053,0.6786996199351223,0.6801016696823019,0.10931446319588424,0.10840889158475621,0.1103658194435952,42.46048272970775,42.45979037910491,42.46116755882683,2.211007330122454,2.208745629485628,2.213382050269495,0.3660090755510311,0.36425504456844576,0.36769665688065223,19.29018926924678,19.289720766446774,19.290567415137122,2.2788104811880405,2.277385314163457,2.280257425091014,0.22501356725789629,0.22429290829580242,0.22583506809539158,19.326015180353806,19.3256346732006,19.32637301090444,2.1744534988878144,2.1731464287716586,2.175597699364341,0.1891405369611036,0.18853510643865531,0.18977412666654483,7.121748617454225,7.12158736671194,7.121916108337229,0.5749695163049409,0.5743901523849075,0.575521208192211,0.08162790928713737,0.08125494698969643,0.08201188378138766,42.34724994354353,42.346681396691054,42.34782966013033,2.3414852867743394,2.339551690952662,2.343477650626926,0.3072052469397876,0.3058856030648577,0.3085453677835696,7.092572958651017,7.09231844783472,7.0928503537083945,0.6686833246588579,0.6677471230823223,0.6695835628180854,0.14306361670822743,0.1416089049565243,0.1444284672837328,7.1220757578524285,7.1219163449854355,7.122228354523125,0.5737064650310714,0.5731660539047894,0.5742581281074127,0.08154180203055036,0.08116022471164029,0.08191577695540442,42.49467448071441,42.49379469638773,42.4955184794171,2.186093421556508,2.1829545625204343,2.188977406928594,0.45595010439454753,0.4532079393059441,0.4589872917277601,42.35870646535809,42.35799812542691,42.35932981480879,2.328295977277124,2.3262135769832457,2.3306415944909964,0.35292214621802964,0.35089012864484537,0.35514913695518135
6,13.561886736842105,12.346492266877682,12.34617062454667,12.346830652004197,1.5512734167400621,1.550227369751614,1.5524484314332156,0.14151829495525559,0.1410656544898694,0.141998230558132,7.145723549013587,7.145469582285636,7.145941142476567,0.6552452151896611,0.6544973808874374,0.6559986448291731,0.10178714219314916,0.10074540192407992,0.10290456907266494,42.65334954437266,42.65268944600776,42.65407129829683,2.1215074129729556,2.119163858366039,2.1238352493513553,0.3261931103508823,0.32445069264035187,0.32785081257094173,19.492215706747892,19.491722250797192,19.49266704335256,2.206534133327609,2.2049706709804724,2.2080697993183906,0.20882455867823152,0.2080137924391207,0.20973943032728537,19.51911814506636,19.51873423417595,19.519510938956852,2.1076214486172047,2.1063606415591045,2.108907962306342,0.17277209638981972,0.17212867204160054,0.17341289419613962,7.172605756511306,7.172445599079108,7.172773883441534,0.5562054540559797,0.5556002493100316,0.5567160357990212,0.07491254631167599,0.07451303089841961,0.07530851491791407,42.549958298916806,42.549331474869355,42.55062700963164,2.2364208813968993,2.234452082446661,2.2386364969509196,0.2843093986782921,0.2829077150466261,0.28557797118382955,7.151432008725955,7.151165166540483,7.151717623187753,0.6448134447738262,0.6438841981572712,0.6457472642361972,0.12821131536614183,0.1264790446856164,0.1297446085051377,7.172845899375948,7.172668546332462,7.173017367511739,0.5552323152504375,0.5546301811872902,0.5557882332794363,0.07485592642878909,0.0744609305853694,0.07527929204495983,42.686188646807125,42.68523890822925,42.6871222900538,2.1028150453959147,2.0997800841279846,2.1058736056541694,0.4110923186264433,0.4079288774227893,0.4140466222407006,42.56027963661266,42.55955347485672,42.56097581395013,2.223954597529616,2.2215317714882694,2.2265670983594483,0.32078901261795917,0.3190036845437993,0.32287104715870196
7,13.65553452631579,12.483499559008507,12.483151661885499,12.483871696409945,1.4999701235474008,1.4987745222556998,1.5010384354749662,0.13209329680460935,0.13161282612386502,0.13257060234494877,7.203265955288441,7.202988987762997,7.203521605465967,0.631675980979427,0.6308156896338761,0.6325182778771424,0.09454012530861963,0.09319875222578954,0.09595926855121253,42.83765124645183,42.83691252062297,42.83837995418141,2.0319339508604175,2.0294945798386994,2.0346046876273043,0.2932853275738403,0.29140247965199845,0.29508180414983637,19.686742405939377,19.686279057877154,19.687200895760405,2.1317219311503273,2.130126567422227,2.1333076956062116,0.1924047484083396,0.19140160338822004,0.19339502557062654,19.705934786207315,19.705555143379684,19.70630600339875,2.0423837367566278,2.0410909351394295,2.043712942394096,0.1574957935010421,0.15690348585569028,0.1581227254471724,7.2224250231203415,7.222228289893619,7.222626454001204,0.5424051668027454,0.5417862171917285,0.5430047931306015,0.06975398105582566,0.06933985567072265,0.07016610953571459,42.74228229727316,42.74157980343594,42.742991962134504,2.1303693481194075,2.1277817025048753,2.1325626677042444,0.2648128273646565,0.2635778690828648,0.26613395579032023,7.208095319107059,7.207798130560425,7.2083908657974645,0.6218125751915988,0.6208180208450723,0.6228423195565007,0.11558063264971487,0.11380562467281263,0.11749258249289037,7.222602791562983,7.222420364924308,7.222806317779013,0.5415909502907993,0.5409634388628616,0.5422415457548833,0.06970548366802853,0.06929396942191329,0.0701176919442123,42.869321249046614,42.86834901083155,42.87021963950349,2.017145800408195,2.013855618606802,2.0203515465446817,0.37509033572459016,0.3715705146319895,0.37859268961973935,42.75149696542114,42.75076577328947,42.75229311413606,2.1183022256756967,2.115880421671712,2.1209741829077626,0.2941410636519772,0.29218816401377956,0.296176323475437
8,13.749182315789474,12.615274882623385,12.614898516785487,12.615641946480036,1.4474588263624346,1.446262231321128,1.4486031077972548,0.12275822937260611,0.12227814727077688,0.12324084699480445,7.259043576797231,7.2587699875165725,7.25934154233501,0.6114805539403403,0.6105457744442246,0.6124216272457645,0.08824631422436593,0.08662736597477015,0.09010819827477928,43.013499669242634,43.01273171018193,43.01433008938324,1.9449900611355169,1.9422288396899507,1.9475000459855374,0.26600160746118395,0.26392271240885823,0.267873986152465,19.87428122705013,19.87376867536158,19.874810687488814,2.058825167737572,2.0570475725671855,2.060574741124821,0.17616873233333724,0.17501807281809117,0.17745356234145812,19.887033176210544,19.886652910284383,19.887469922085277,1.9813194064470192,1.9799150755839072,1.982734900559081,0.14322653347430106,0.14259512165164262,0.14385070643969525,7.271756008999682,7.27154187650708,7.271989526869903,0.5338689337123843,0.5331740539343413,0.5345128359818803,0.0658985319947053,0.06547171176087839,0.06633918373745977,42.92465704114082,42.92395127392228,42.92547083121784,2.027054455362353,2.0245356802502346,2.0296110754347416,0.24768250554150037,0.24641573090995078,0.24898744769111525,7.263085948886994,7.262783094230139,7.263435332436422,0.6024269022642772,0.6014486630849262,0.6034413479566261,0.10525007964790004,0.10323863226805305,0.1074783917326503,7.271918818759603,7.2716993989848415,7.272118004517655,0.5332876811809762,0.5325894526326784,0.5340417743649559,0.06587042367806481,0.06544211269433993,0.06632548899833104,43.044158294555906,43.04301892369469,43.04514512069299,1.9321438263052984,1.928463985675627,1.9354465903837414,0.3458056640521862,0.34147422646023007,0.3500937015955745,42.932984924108595,42.93214209501911,42.933860044973315,2.0163758671662806,2.0136351360824976,2.0190344918680476,0.27125350186321573,0.2691234158420772,0.27338284827842774
9,13.842830105263157,12.742043186073754,12.74164679546762,12.742419747951246,1.3959998065190058,1.3946439243014896,1.3972331271400722,0.11331341223017202,0.1127965301376323,0.11381301046267456,7.313613213934595,7.313255600785077,7.313925809934915,0.5957174694458653,0.5946217947761498,0.5968569512634625,0.08364638938017638,0.08128653226070101,0.08602836460660948,43.18148431982887,43.180600840585,43.18234386438978,1.8621028334404803,1.859100328263936,1.8647666535664689,0.24316455979123563,0.24114487122018613,0.24532847966676286,20.055601029485857,20.055054537395062,20.056155269245245,1.9916070666076418,1.9896200738244123,1.99352533978762,0.16088539581304923,0.15945932281723796,0.16248576812390153,20.063105756770277,20.062660294825783,20.0635734323236,1.9260780072674377,1.92467542429655,1.9275798296781261,0.13021214008151122,0.12954957582777746,0.1308760600655672,7.321101795736979,7.3208584886302335,7.321365729182724,0.5301665004768821,0.5293583252573135,0.5309847714381984,0.06312484852441261,0.06261755950637096,0.06355813092151573,43.09794276674386,43.09708326144153,43.09884630649382,1.9303536519978723,1.9275794732585612,1.9331104526332867,0.2322448868194513,0.23085462157017272,0.23360797902164251,7.3169929125529585,7.316618883055238,7.317345361600434,0.5878320004636826,0.5867402192186453,0.5889170632834917,0.09732811712045722,0.09492092310127438,0.09975309093174504,7.321231191922729,7.320982675837459,7.321485552455568,0.5297673793624779,0.5289905430514181,0.5305478094641484,0.06306100674819679,0.06262346332843335,0.06354974767295922,43.211098124261184,43.209945924094015,43.212265160069705,1.8509387845854692,1.8470487034872145,1.8546956025328922,0.32187965239441296,0.31651660706861917,0.3272632260485791,43.10543291614014,43.10442978921622,43.10633025089486,1.9207094527310222,1.917578971614641,1.9238154382186354,0.25164717212563653,0.24952700905203082,0.2536427439790235
