bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_500c_mpq,T_mw_hot_gas_500c_mpq-,T_mw_hot_gas_500c_mpq+,L_X_ROSAT_obs_ce_500c_mpq,L_X_ROSAT_obs_ce_500c_mpq-,L_X_ROSAT_obs_ce_500c_mpq+,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq+
10,13.958477894736843,0.06778939063361249,0.0661321661431533,0.06956196451053162,0.22398127008057672,0.21507383350677914,0.23251011844938654,0.12952771841151667,0.12500275716648143,0.13396524304931273,0.10179501651347604,0.09842370447862257,0.10553228904859717,0.06546462027672174,0.06352670984500171,0.06740905307661858,0.11645823122401268,0.11276213447357505,0.12040975266067995,0.11890257895121986,0.11517897852395242,0.12284672898095123,0.05099566575361548,0.03943485055111993,0.05675180435397994
11,14.054325684210527,0.06334058267677975,0.061538505479478596,0.06507163119395688,0.2233929762294359,0.2141532150696917,0.23184363185571452,0.1399117474156325,0.13356245041076129,0.14583659985643657,0.10135606411237721,0.09744432060107401,0.10550293069355991,0.06414164430052091,0.062004786391146934,0.06591977961880569,0.115637386748582,0.11152390593533702,0.12004731999705161,0.11923923146007323,0.11565049281112413,0.1230454400627088,0.04798869640414109,0.03756596106895135,0.053469145943679484
12,14.15017347368421,0.05877572341203541,0.05705500389789978,0.06039688504916853,0.21835979006947048,0.20951702657465257,0.22802480555906796,0.1610984301417137,0.151631622270813,0.16979007465220647,0.10002080583080279,0.09598975593299677,0.10360702152851445,0.06260784439525519,0.060393418818629974,0.06478454672240788,0.1150784658836222,0.11112807837160435,0.11898622998679127,0.1244452387706119,0.11978328515437586,0.12863837218223154,0.04434359428164736,0.03379146973547281,0.04922308642427061
13,14.246021263157896,0.054591748419899847,0.05289703205965823,0.05631374830168614,0.2152407104010789,0.20747979600677238,0.22447277185128686,0.1849019212519455,0.17082213901704046,0.19800818674196574,0.09790889662212039,0.09478360822714471,0.10109745962041407,0.061526264455078805,0.059187412361386076,0.06368278274219827,0.11510300309203338,0.11046249380242329,0.11934618566192616,0.13290652639331765,0.12737364639846685,0.13780300019829625,0.04084128375252585,0.031208304055556257,0.045505471866021004
14,14.34186905263158,0.05067057303727546,0.049113301786660804,0.05204272029978636,0.2154440765405749,0.2065875841647745,0.22494362910464785,0.21101345146266753,0.19143966642512672,0.2291695058362444,0.09710150717426934,0.09342732003479302,0.10055294487350065,0.06123888297366542,0.05882003361989303,0.06331882747982726,0.11554044261439819,0.10999161245275052,0.12067707065895122,0.14041673708864777,0.135144090610081,0.14585076958658455,0.03783474988161743,0.029232676574310883,0.0426773339033879
15,14.437716842105264,0.04732925625221093,0.04580887699422642,0.04887428633394935,0.21763133145211955,0.20692937411510762,0.22759094759951115,0.23283295480355082,0.21160548895738943,0.25034782278622,0.0962895080047272,0.09263350723183465,0.09990710477958425,0.0610460913744522,0.05871040546850498,0.06306504421235497,0.11742101214209115,0.11237684970285094,0.12201975011044137,0.146773331401776,0.14003887098182752,0.1532509566442431,0.036249502749913176,0.027918281289875536,0.04049967730354845
16,14.533564631578948,0.04465083931423042,0.04306401502053818,0.04617931468374877,0.2231181192347248,0.21167606660633706,0.2330850580797585,0.2568578603985363,0.23510236781669092,0.27776861446817236,0.09642670091230449,0.09269737301275995,0.09994248470182616,0.06079265565372599,0.058507199135417985,0.06327640205075742,0.11938622122354958,0.11382030862969553,0.12450804246773398,0.14910074594984313,0.1414577928997636,0.1564817043808146,0.03519870277303569,0.027678943598135743,0.039050264806582656
17,14.629412421052631,0.04225578192771613,0.040548699998159715,0.04401740182658386,0.22930146565339368,0.2152356173798693,0.24162776698447386,0.27661247608072803,0.2524582828252966,0.29818139842973124,0.09699729043442368,0.09252919636115398,0.10138462291655158,0.06104114900786868,0.058502263398346424,0.06363113425713263,0.12103569965781377,0.11564007135569808,0.12660064655823564,0.15035023217270432,0.14261618729574874,0.15919386627598509,0.032754512546127844,0.02525490776216082,0.03690833556647952
18,14.725260210526317,0.040456665944623466,0.03849970317230847,0.042227664452660484,0.24034586117376264,0.22383184959068747,0.2549280087836995,0.2928535517989046,0.26894205348956646,0.31800033932304195,0.09854479577654587,0.09357175494151691,0.10254087339190356,0.061098689110614376,0.05833317469927583,0.06376719936435206,0.12363866333924568,0.11764197904030232,0.1297638489388493,0.1497484213566016,0.13913737297078546,0.1604364285594869,0.03163888948043876,0.024526284366675595,0.035728411431686764
19,14.821108,0.03880902990743135,0.03668044573520944,0.04063708990467413,0.25157104894999827,0.2320507330101734,0.2711814132958687,0.30103384641204967,0.27535727921233905,0.3278749244935563,0.09886982232673519,0.0930750939521176,0.10425989636372547,0.06109601083940456,0.05805243680694361,0.06410103458598919,0.12662776488189642,0.11931151042103781,0.13449294332536674,0.14836906572291753,0.13653995362563084,0.1585285994098613,0.030444240245156774,0.022936077493946955,0.03456434048577146
