bin,M_500c,M_hot_gas_500c_T_sl_500c_corr,M_hot_gas_500c_T_sl_500c_corr-,M_hot_gas_500c_T_sl_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr+,M_hot_gas_500c_Y_X_500c_corr,M_hot_gas_500c_Y_X_500c_corr-,M_hot_gas_500c_Y_X_500c_corr+,M_hot_gas_500c_Y_SZ_500c_corr,M_hot_gas_500c_Y_SZ_500c_corr-,M_hot_gas_500c_Y_SZ_500c_corr+,T_sl_500c_L_X_ROSAT_obs_500c_corr,T_sl_500c_L_X_ROSAT_obs_500c_corr-,T_sl_500c_L_X_ROSAT_obs_500c_corr+,T_sl_500c_Y_X_500c_corr,T_sl_500c_Y_X_500c_corr-,T_sl_500c_Y_X_500c_corr+,T_sl_500c_Y_SZ_500c_corr,T_sl_500c_Y_SZ_500c_corr-,T_sl_500c_Y_SZ_500c_corr+,L_X_ROSAT_obs_500c_Y_X_500c_corr,L_X_ROSAT_obs_500c_Y_X_500c_corr-,L_X_ROSAT_obs_500c_Y_X_500c_corr+,L_X_ROSAT_obs_500c_Y_SZ_500c_corr,L_X_ROSAT_obs_500c_Y_SZ_500c_corr-,L_X_ROSAT_obs_500c_Y_SZ_500c_corr+,Y_X_500c_Y_SZ_500c_corr,Y_X_500c_Y_SZ_500c_corr-,Y_X_500c_Y_SZ_500c_corr+
0,13.0,0.1562996100858678,0.1347294360633749,0.1771328301106411,0.7036206013039561,0.6922203399792124,0.7142621975137856,0.906858424563108,0.9021363141219988,0.9120396383008268,0.843595305321559,0.8368740936851657,0.8499532422745285,0.3718556774852214,0.345733091940975,0.3984924559189442,0.5595901060825805,0.5417496858882611,0.5763992868636971,0.4474594659562563,0.4292334368999002,0.4666147225850287,0.7492694623281315,0.7382856808404865,0.7601021921442458,0.6118069740381772,0.5962997460990059,0.625694100889528,0.8999735629012403,0.8933367795157511,0.9060061698306072
1,13.049368,0.1584949980107828,0.1369391140178498,0.1824255802718673,0.6996497575773499,0.687692965977151,0.7106637977392507,0.8969632750640377,0.8914072829942961,0.9020749714674224,0.8374727858575179,0.8299843603718898,0.8446602310846633,0.3623467130738456,0.3383955567227901,0.3906131613352848,0.5790816466663402,0.5607202938855197,0.5968137353088973,0.4636831073546511,0.4463093928595417,0.4812308051615783,0.7399675884176655,0.728081009452487,0.7518926163953092,0.603207492947801,0.5883810977769193,0.6188875009301543,0.8994482658934293,0.8921167049093429,0.9062824456336156
2,13.098736,0.162849879765569,0.1385990424590604,0.1881364044629796,0.6954322805473436,0.6827519875071895,0.7078052690294877,0.8864732134072173,0.8798622749737361,0.8923036044372092,0.8312376548888132,0.8220344753060507,0.8393560383064718,0.3528911145462622,0.3242933813706033,0.3837247644422967,0.6008290033661894,0.581387990558857,0.617773864529244,0.4808458245946883,0.4625641997001095,0.5013942004747823,0.7270463793438038,0.7139145152610858,0.7410263614834238,0.5935636097832758,0.5745844624563075,0.6104611751552241,0.8992086256427486,0.8918024865490787,0.9060529112031857
3,13.148104,0.1691442151096591,0.1425652328145161,0.1955334871589382,0.6886857726124926,0.6746451193669303,0.7021593468041608,0.8736450519301602,0.86557390558853,0.8810358115772349,0.8238338336079863,0.8145204804223432,0.8342607643614317,0.3422730262574653,0.3109060922419072,0.3734690466860968,0.6250783884168662,0.6053104852775333,0.6458604098949087,0.5018794965331843,0.4812356509367295,0.5221892778803419,0.7145699533484231,0.698918316500139,0.7290460649191268,0.5829680080549741,0.5619062276681404,0.6025560504694614,0.8995494347792954,0.8920234028746049,0.906479997369064
4,13.197472,0.1767120087456612,0.1459990936199117,0.2039139466666809,0.6810138658030875,0.6668680026563903,0.6948785080682427,0.8607404224699547,0.8522081472929054,0.8685826272287267,0.8168503364452828,0.8067008724636766,0.8284087464726286,0.3332587314616652,0.2968488875900142,0.3658659164336041,0.6511098815100673,0.6311644582996447,0.6717829280795758,0.5214669778560113,0.4989277421963377,0.5432450604211787,0.6973830761190404,0.6787631732350193,0.7153686504117215,0.5715692699920167,0.5496649149657082,0.593906635076816,0.8999991746413398,0.8921832275775476,0.9073323964761104
5,13.24684,0.1846085581594032,0.15312962045773,0.2190049562289403,0.6720085545854229,0.6556204333159366,0.687574361204249,0.8475404998056544,0.8384158283697228,0.8566310171379787,0.8130319315397045,0.8001387469907586,0.8248127208903051,0.3247710706899965,0.2896824726344999,0.3582416887176701,0.6811552871056261,0.6590856566868463,0.7004460988964666,0.5430016483170312,0.5174529098529855,0.5656180035439916,0.6797348068156339,0.659466959872659,0.6971188480913755,0.5586235879704154,0.5337435097741987,0.5834906174151916,0.9002394662068045,0.8922462200692516,0.9071741912155716
6,13.296208,0.1993797117036813,0.1661538435663995,0.2348753194060427,0.6597346133505315,0.6420434155859182,0.6771317912566318,0.8346526059124101,0.8228109968646967,0.8445585125049349,0.8096803725249976,0.7952127282763913,0.8247796843464875,0.3224393905768095,0.2862310433201593,0.3567339988581977,0.7082200050294492,0.6857524067311097,0.7288731301810123,0.5606555508490763,0.5333588406750255,0.5891518110919206,0.6567705872484721,0.6350629550303407,0.6786711364112217,0.5454543044490663,0.5163727282450135,0.5743238021367312,0.9002763524645272,0.8926150310219545,0.9077764199592216
7,13.345576,0.2120501780924574,0.178025411718686,0.2503876371424761,0.6463825519700963,0.6251200693099475,0.6658723834427362,0.8205106557863161,0.8084152176171856,0.8322735931848061,0.8077115934075417,0.7895946204477774,0.8257931610109525,0.3191189703144378,0.2842678872006827,0.35453648340359,0.7356832758497708,0.7094218664702666,0.7576750464145139,0.5809285970010107,0.5470078400613668,0.6098864757027632,0.6349489844661471,0.6121585441502071,0.6583506525706239,0.5341793210256254,0.5041268022858953,0.5624334786950148,0.9003697073814454,0.8928311047795943,0.907798151015248
8,13.394944,0.2300269155185933,0.1874367491322708,0.2675410263695246,0.6314847847969104,0.6082773267675237,0.6531889948168502,0.8073852814259015,0.7924712900011427,0.8218794685105747,0.8081560432512896,0.7853378033564642,0.8292863601028199,0.3196151957723687,0.2831260397674753,0.352455693500202,0.7624560045292181,0.7359497997202586,0.7858814430515514,0.5945155034371685,0.5494109631723341,0.630942016947987,0.6123265624687115,0.5884354541810434,0.6363634450226443,0.5215426332244588,0.4882959267804472,0.5523499973645518,0.9006528551591125,0.8923941027340057,0.907743306260463
9,13.444312,0.2446251722454469,0.2026003709209781,0.2879043921508449,0.6118523564505913,0.5863005827010722,0.6378399056990257,0.7935261002147088,0.7757184982340561,0.8108113403535118,0.8095333326166856,0.7797120813525683,0.8370854839292005,0.3226372899183351,0.2847214800457228,0.3568816688589978,0.7840614551050049,0.7522743047454321,0.8137959823337507,0.607202277388716,0.5541464985106529,0.652488649039366,0.5928536616875812,0.5611671938441545,0.6174511435173019,0.509088800500942,0.4769684813526075,0.5388688072902741,0.8997445378531304,0.8913062432996713,0.9070213301177128
