bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_wo_recent_AGN_500c_mpq,T_sl_wo_recent_AGN_500c_mpq-,T_sl_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_wo_recent_AGN_500c_mpq,T_mw_hot_gas_wo_recent_AGN_500c_mpq-,T_mw_hot_gas_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,T_mw_hot_gas_500c_mpq,T_mw_hot_gas_500c_mpq-,T_mw_hot_gas_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,L_X_ROSAT_obs_ce_500c_mpq,L_X_ROSAT_obs_ce_500c_mpq-,L_X_ROSAT_obs_ce_500c_mpq+,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq+
0,13.0,0.12793688463507413,0.12766925473639695,0.1282193763557436,0.21987144022041455,0.21885400381026437,0.22088696581432182,0.28503068912360774,0.2841572827526533,0.28589248840794296,0.12577612870193267,0.12548363926307315,0.126052089030587,0.11716706416667023,0.11693578532967916,0.11741691587396694,0.1950054236016449,0.19447829511848394,0.1955125517938111,0.20358874156481244,0.2029077434420984,0.2042124417954805,0.3978892813603955,0.3948271937409902,0.40067382938636703,0.19771471639345894,0.19721592444242306,0.19829939378940808,0.4306969970988178,0.42920708529417834,0.4321806843845856,0.27035977774109754,0.26915702492304266,0.27162196707885006,0.11658293439213752,0.11608807318475745,0.1168667206631815
1,13.078965578947368,0.11645850834698679,0.11619127224438842,0.11671431138754701,0.2118453877086434,0.21064410565707942,0.21290962544599354,0.2575586469980099,0.25677565675938147,0.2584334332239637,0.11811875361489904,0.11781518988996793,0.11841770938472573,0.10807000818948728,0.10781198474098785,0.10833235846102691,0.18026111988981555,0.179756694440518,0.1807769114364114,0.18463815005257797,0.18398637900477544,0.18533594873624426,0.3760682816283345,0.3732257155585955,0.3789065065323301,0.1822442619114024,0.1817156988785331,0.18280769618452056,0.39551099353160757,0.3939348698813593,0.39700170203753526,0.2522230026303587,0.25101348931708767,0.25348665852675967,0.10740439735793891,0.10692600988169737,0.10764149770817098
2,13.157931157894737,0.10628257234189886,0.10605574099734057,0.10651688062869606,0.20607224731622248,0.20476289920171956,0.2074314573731969,0.23252690079297514,0.23169870673771834,0.23330868820702275,0.11177436232228231,0.11140790414323026,0.11214396180007241,0.09980413762362325,0.09955701294718328,0.10005798015748106,0.16636181389124657,0.16585164744912737,0.16682446460038403,0.16764768597969587,0.1669754872290545,0.16832289162615247,0.3548013061783105,0.352104354528869,0.3574743950999103,0.16780622647799648,0.16730193535428886,0.16829199985060272,0.36296606543692334,0.3614074014571983,0.36464715287528954,0.2345548721815262,0.23334564842659672,0.23567341586299595,0.09890006194724965,0.09842661914229497,0.09916357458343285
3,13.236896736842105,0.09779232941445834,0.09757057901991986,0.0980607894481841,0.20234582569014992,0.20040721806873357,0.20435837338076798,0.21044063608232205,0.20957030383742767,0.21129831832800114,0.10697682911368772,0.10655169175827894,0.10739034970896316,0.09263812994743034,0.09237499621597242,0.09292439054502535,0.1540491305256741,0.153514013627686,0.15454269725706585,0.15306054373334466,0.15238837423893356,0.15367307781461914,0.33500879889984675,0.33211065524985905,0.337985801064937,0.1549599204449112,0.15439994988625955,0.1554925501943033,0.3341718449863338,0.33246217902723496,0.3360226694591485,0.2185254871937633,0.21701869227660706,0.21989108089061202,0.09151523727201241,0.0911224705835631,0.09177347878765023
4,13.315862315789474,0.09111290302029168,0.09084802325548949,0.09139173835123067,0.20193513296397492,0.1993350521679172,0.2042263959611694,0.1920780412598039,0.19109103565457128,0.19301919873829185,0.10372223542566744,0.10317625941640382,0.10426078649514763,0.08658844105840452,0.08633523970802653,0.08686614659282121,0.14337473081055382,0.14277232228416967,0.14396172454254916,0.14138546088848172,0.14069634529997124,0.14218074444485695,0.31783488046891417,0.31445131499546464,0.3207648458919216,0.14394784394451104,0.14341953108009867,0.14453917429342855,0.31013590058287266,0.3080856224046825,0.3120796317897837,0.2042189342176069,0.20260840362547908,0.20564381509704294,0.08520925405532706,0.08480581170440692,0.08547570015102382
5,13.394827894736842,0.08602045183865638,0.08575798786370922,0.08631548446656781,0.20390417964397944,0.20073740496951317,0.20678592487590117,0.1767734338567209,0.17578046829634117,0.17773334774440347,0.10155228117818599,0.10090227451538337,0.10220707938194096,0.08145317937710564,0.08116418304669867,0.08174706274632099,0.13441736071582372,0.1338320955191328,0.13494823931761712,0.13251915132148423,0.13173066850285253,0.13327491411829037,0.30287035705345594,0.2992173553632596,0.30637465641876616,0.13481932693282717,0.13418653065492253,0.13540036938598854,0.2906506751343589,0.28824481310923955,0.29299035616155106,0.19210132026827131,0.1902807333509238,0.19385610991188768,0.07988308341464521,0.0793297157888208,0.08020304848753446
6,13.47379347368421,0.0822954828259507,0.08197960980892459,0.082604932777267,0.20679505029159734,0.20348564300966446,0.21032995434441212,0.16436141994434628,0.16345642253697246,0.1653317934956392,0.10028233707986021,0.09938212655785485,0.10107096461086561,0.07697761117534968,0.07669854705054378,0.07725896470304365,0.12712658707658753,0.12649729339140522,0.1277207503593297,0.12586941461438753,0.12504768766614394,0.12666607130824947,0.2910939743652995,0.2871763541819115,0.29506768749326895,0.12738080065004287,0.12681759447584717,0.12794409410909208,0.2760504450862799,0.27338551928898785,0.27884055935344537,0.1817250297857706,0.17989497565139323,0.18360557452910806,0.07527015355816095,0.07471905901394597,0.07568469748576034
7,13.552759052631579,0.07955801532634958,0.0792014984615179,0.07989432202575387,0.21165588317803552,0.20700090975907792,0.21677412980835106,0.15420944922623028,0.15311560995154722,0.15532814681955417,0.09944041737233926,0.09836998747402022,0.1005300575321769,0.07304946203751608,0.07271384156880088,0.07337607370608912,0.12126884628981122,0.12064212017717699,0.12194687158040986,0.12101451699867474,0.1201184688288049,0.12197865495828304,0.2824237800264517,0.2772173360827797,0.2870920713009225,0.12142771464448884,0.12075476494613274,0.12209827023841863,0.26535736039765845,0.26252478577133664,0.26822186862437936,0.17297416355580908,0.17101069381483655,0.17513246654115217,0.07139941480675796,0.07077281668561307,0.07184065984725886
8,13.631724631578948,0.07735510292021966,0.07699693628949468,0.07771212120081863,0.21721889379658776,0.2111799236289768,0.22303550039101228,0.14565513206663172,0.14440328059609805,0.1467767204060956,0.09871248183013373,0.09746273330054862,0.1000325059229948,0.06944524759424883,0.06915100222549114,0.06978169634666304,0.11685815633066526,0.11613150956584244,0.1175703900248652,0.11747288246571512,0.11662040934034197,0.11830201300087073,0.27521820374143496,0.2699245931395101,0.2804386597153348,0.11699555438953639,0.11624559530250225,0.11771751309525987,0.25699413501800195,0.2536651030580379,0.2605365125130608,0.16585921528179975,0.16355909020044865,0.1680240217070507,0.06771679317671532,0.06706934637027308,0.06818644561390992
9,13.710690210526316,0.07545215781304351,0.07503715038316558,0.07586478866658902,0.22197295012001447,0.2147843682541548,0.22883318399271174,0.1386596671763365,0.1372351842141064,0.14000776475286136,0.09845851844969888,0.09676072894576415,0.10016647304779355,0.0662024693782272,0.06585903653556649,0.06654419588823597,0.11377323583268573,0.11290410802639089,0.11463540686485314,0.11463165416892444,0.11383222769415133,0.11538527694491109,0.2707306675178257,0.2639360568694612,0.2768852843829116,0.11390668789710612,0.1131015612256902,0.11470346205579386,0.25065339660745806,0.24624068798810178,0.25487068163075527,0.15962283409607103,0.15696233972748885,0.16213260409752536,0.0644544188593627,0.06372159115615801,0.0649692331565009
