bin,M_500c,M_hot_gas_500c_norm,M_hot_gas_500c_norm-,M_hot_gas_500c_norm+,M_hot_gas_500c_slope,M_hot_gas_500c_slope-,M_hot_gas_500c_slope+,M_hot_gas_500c_scatter,M_hot_gas_500c_scatter-,M_hot_gas_500c_scatter+,T_sl_500c_norm,T_sl_500c_norm-,T_sl_500c_norm+,T_sl_500c_slope,T_sl_500c_slope-,T_sl_500c_slope+,T_sl_500c_scatter,T_sl_500c_scatter-,T_sl_500c_scatter+,L_X_ROSAT_obs_500c_norm,L_X_ROSAT_obs_500c_norm-,L_X_ROSAT_obs_500c_norm+,L_X_ROSAT_obs_500c_slope,L_X_ROSAT_obs_500c_slope-,L_X_ROSAT_obs_500c_slope+,L_X_ROSAT_obs_500c_scatter,L_X_ROSAT_obs_500c_scatter-,L_X_ROSAT_obs_500c_scatter+,Y_X_500c_norm,Y_X_500c_norm-,Y_X_500c_norm+,Y_X_500c_slope,Y_X_500c_slope-,Y_X_500c_slope+,Y_X_500c_scatter,Y_X_500c_scatter-,Y_X_500c_scatter+,Y_SZ_500c_norm,Y_SZ_500c_norm-,Y_SZ_500c_norm+,Y_SZ_500c_slope,Y_SZ_500c_slope-,Y_SZ_500c_slope+,Y_SZ_500c_scatter,Y_SZ_500c_scatter-,Y_SZ_500c_scatter+,T_mw_hot_gas_500c_norm,T_mw_hot_gas_500c_norm-,T_mw_hot_gas_500c_norm+,T_mw_hot_gas_500c_slope,T_mw_hot_gas_500c_slope-,T_mw_hot_gas_500c_slope+,T_mw_hot_gas_500c_scatter,T_mw_hot_gas_500c_scatter-,T_mw_hot_gas_500c_scatter+,L_X_ROSAT_obs_ce_500c_norm,L_X_ROSAT_obs_ce_500c_norm-,L_X_ROSAT_obs_ce_500c_norm+,L_X_ROSAT_obs_ce_500c_slope,L_X_ROSAT_obs_ce_500c_slope-,L_X_ROSAT_obs_ce_500c_slope+,L_X_ROSAT_obs_ce_500c_scatter,L_X_ROSAT_obs_ce_500c_scatter-,L_X_ROSAT_obs_ce_500c_scatter+
0,13.0,11.85691781092455,11.85366138656135,11.859932318681535,1.248779099644533,1.2381282710809405,1.2602040441793039,0.2864233777668881,0.28232041007163083,0.2908716476485055,6.781626643190228,6.7798237933271475,6.783709467501393,0.505357635753058,0.49885304642121364,0.5113463468366168,0.1457256484078851,0.14176259650825307,0.1500239115353696,42.377569355043164,42.36480503443583,42.38957353758475,2.1890236337395335,2.1463536736707503,2.2322959276274124,1.0791894913605473,1.058365084702023,1.097951601921181,18.638651755953493,18.634656797780014,18.642532995311086,1.7539582340541946,1.740427099546775,1.7670523468779709,0.3411967433304845,0.3356116975884365,0.3467569111879957,18.78480825791634,18.7820058613038,18.787780265767015,1.8150100419135904,1.8054953896752417,1.8249886187461908,0.25430562050862093,0.25034602147701496,0.2581964497593203,6.928036777630146,6.926199803356048,6.929765777201444,0.5662863503053477,0.5601946723554385,0.5725910211308576,0.15445309657790657,0.1521591985174483,0.1569891774352758,42.22445633947455,42.21441212669042,42.23496979314818,2.491620400016039,2.4575796928716467,2.5239491529601477,0.884320144210645,0.866459954293884,0.9015640663001878
1,13.049368,11.919505671859099,11.916593815506129,11.922620089253106,1.2562744555524468,1.2465688897230425,1.2658093231331242,0.26940332909510856,0.26482716639647236,0.27366270220883204,6.807978774852305,6.805790398127426,6.809962249231668,0.5139987553231928,0.5074834500152532,0.5198704877285979,0.14553294458635851,0.14148739374109295,0.149820149774575,42.48667277545499,42.4758758374843,42.498299352342215,2.1975973938679854,2.1572221735558723,2.2347577534407366,1.015674107993501,0.9973671405211816,1.034318013136817,18.72727315560679,18.72332747685561,18.7314434278347,1.7692285948838458,1.756152497315555,1.7828113186876,0.3260254054493739,0.3201524672352822,0.33139137746329783,18.87529074536392,18.872187725770807,18.87824294233143,1.8203630790317358,1.81088615485052,1.829850988886243,0.24107877189892735,0.23708554477632976,0.24533849220761506,6.9555254854047055,6.953760782600887,6.957443309790019,0.5645842121045785,0.5589060114997682,0.570529338959534,0.1480355506164831,0.14538671368212777,0.15065675068038517,42.34431185994317,42.334087553282906,42.35433863964681,2.463839473518929,2.4324448630687,2.4952018671597873,0.8379546502550299,0.8185370123445133,0.8562864137161106
2,13.098736,11.98238066910343,11.97938631794067,11.9852335357804,1.2609791774615458,1.2518577994872844,1.2704406325416366,0.2514511018687301,0.24703521308952575,0.25649006350259484,6.834674785045392,6.832404776456605,6.8369405860033154,0.5238431315524095,0.5172115810193842,0.5305717601559939,0.14588811469747925,0.1415177433401885,0.15004853135586507,42.59773313189977,42.58645291604321,42.60949215040549,2.208153119966176,2.173118179913514,2.2460398103348735,0.9503387026233239,0.9311421002635966,0.970421605198792,18.81719907641461,18.81300644686909,18.821138856933704,1.785201367721453,1.7725428822500529,1.7975210341948962,0.3101171719538863,0.30453032795364204,0.3162234277164079,18.965823245472535,18.96280134622551,18.96859138341623,1.8256726314639553,1.8168695269720214,1.8346898756230992,0.22833367453423753,0.22422532217106136,0.23238949364272865,6.983472749121475,6.981627922890504,6.985316553735148,0.5641647528935836,0.5588856262670107,0.5694711893095218,0.14135307764194316,0.13872477781765918,0.1437248099134035,42.4622292035132,42.45181939214642,42.471892215957126,2.4361788597974607,2.405604620303993,2.4646624713401577,0.7886303874293866,0.769733260752967,0.8095418195174782
3,13.148104,12.045016125521393,12.041963810735258,12.048203619114823,1.2650135077348021,1.2562513094459367,1.2748344646395646,0.23361558467598179,0.22898014239085082,0.23850430284975685,6.862071703871968,6.859817019491504,6.864412060957685,0.5349198179772694,0.5281851499437334,0.5420564575089669,0.14556501762822505,0.14105157727273407,0.15004013392838766,42.70741733138327,42.69674412489348,42.71948405032214,2.218852260740224,2.1849368922823835,2.254735812518074,0.8862837380489752,0.8654883039816674,0.9066807732750658,18.907143954963317,18.902990210965726,18.911314105977077,1.8002981822091009,1.7873048719698634,1.8127056459732527,0.2950857354736294,0.28912691105591737,0.30112428747127806,19.056874215098965,19.05385126957834,19.059750436659645,1.8305852630286807,1.8222557016487841,1.8395589992810497,0.21493824734253802,0.21079059748396256,0.2190408229675062,7.0113385481321036,7.009511568851485,7.013247767014361,0.5647744731131034,0.5596203995590866,0.5704022608365483,0.13434249594158765,0.13142416921512304,0.13698152210573203,42.57796405414914,42.56905478336238,42.58710279312309,2.4089241752163244,2.381375121129828,2.4346878563065415,0.7363576037484978,0.7167926542804437,0.7571481321023695
4,13.197472,12.1078562276944,12.10502167599894,12.110981150257961,1.2676622471260388,1.2590781851823394,1.2765724702033519,0.21615198144204117,0.21100296632457496,0.22135729414384317,6.89001522544369,6.887797607081975,6.892484567521309,0.5466128555933853,0.5396721916765936,0.5535899827333665,0.1455542216940011,0.14143115636760864,0.14991791334265975,42.81847211685001,42.80799788952419,42.83043527714704,2.235935701621602,2.2006040721379563,2.269143291963091,0.8220660532662376,0.8012250211405528,0.8404498810042621,18.998171145024976,18.994034921698123,19.002495285197792,1.814891908717045,1.8021600303635916,1.8275469757459448,0.28074258641431904,0.2742946006784156,0.2875773775721113,19.147335523133812,19.14438553835246,19.150400232250483,1.8341663561879704,1.8256204078179525,1.843850128784368,0.20252517284748295,0.19800717537108214,0.20680426311271993,7.039588594617333,7.0375281420003715,7.041321448538805,0.5660776423856531,0.5610949055046037,0.5715866695602398,0.1270285799499584,0.12412777528645313,0.130029667682364,42.69416970329823,42.68574258097829,42.70327111885139,2.3874120644800927,2.3601563054946926,2.414938073779627,0.6851847024547517,0.665563708978114,0.7047272234715248
5,13.24684,12.170677175391518,12.16794146539639,12.173582195840815,1.2676251296679681,1.259111337662062,1.2767369734098262,0.20018117345934935,0.19453595913011468,0.20542246964829666,6.918709506299282,6.916113672075123,6.9213154621290895,0.5601847291337223,0.5525420739425441,0.5678808758436262,0.144885324785744,0.1407981671174646,0.1495993169743904,42.932202493395735,42.922723543628116,42.9430504752903,2.2555257589659146,2.2220820195765216,2.288023928812079,0.7592701015664698,0.738252211915516,0.7799718791319344,19.089403072616747,19.08505690470889,19.09363565888251,1.8276687067795891,1.8144575833303975,1.8400869026799211,0.2681189591356926,0.2613748375452225,0.2745773339678544,19.237954297552335,19.235210636323785,19.24090761983217,1.8360997348975296,1.8266510746392557,1.8450830893407066,0.191124557512589,0.18642245152733994,0.19581419366874128,7.067745005093608,7.065923832765384,7.069548628331239,0.5681641517979013,0.5631660500752538,0.5732017637646123,0.11988833565631055,0.11685231508220309,0.12286124475916506,42.80945973541722,42.80097603433954,42.817906941568566,2.370579644837112,2.3448883308958526,2.3972696089988577,0.6285055970345513,0.61000002883607,0.6495263961110322
6,13.296208,12.232850383495377,12.230054755879591,12.2355498684683,1.265092398572076,1.25553772995442,1.2744783811168792,0.1844930862033285,0.17875689953574816,0.19131815932864618,6.947834144729196,6.94514053516215,6.950511222245992,0.5729419940027756,0.5646336087654852,0.5814818034330602,0.14469500904783222,0.14015584095720812,0.1488510137180346,43.0462830716061,43.03516332319907,43.055923962853306,2.2763828495017684,2.2428981971295716,2.3105573898258625,0.6998506781311299,0.6773003708601663,0.7206372152259735,19.180866540426564,19.17617662375216,19.185260894328064,1.8375018759923125,1.8236981175210287,1.8521094275967274,0.25644069366578226,0.2495839619435688,0.2640148085529409,19.328841035382833,19.32603121800129,19.331781534723262,1.8355299708564508,1.8249856874290966,1.8454619005548707,0.181154978569605,0.17565401118418753,0.1868733419466058,7.096075743908076,7.094475133553387,7.09782524210675,0.5703845877765146,0.5650665392812328,0.5757472017006698,0.1128634229252391,0.10999606527209703,0.11573157350268733,42.92554009355062,42.91718344747132,42.933604784006924,2.360671915855767,2.3354310820321285,2.3869214999757307,0.5756845059047039,0.5577296731493889,0.5959081331557531
7,13.345576,12.295010275439957,12.29200683601493,12.297613917141101,1.2598299340547987,1.2510909785887736,1.2688946279976978,0.1709896675444887,0.16394578052579267,0.17890833504493034,6.977422330455232,6.9748480821239145,6.9799991942199355,0.5854482016432808,0.5759106081809174,0.594545602058687,0.1445406046646997,0.14024991804643666,0.14905246675135947,43.15990361835041,43.15028914216238,43.16963923145254,2.2969720091506747,2.265136860289385,2.3279523153251604,0.6428689590345364,0.620069703720616,0.6650301261648441,19.27233708737122,19.26801819050592,19.276341149405845,1.8451899162475907,1.8309225980149004,1.8601326425120541,0.24689271900575316,0.2392001017056534,0.254757709913017,19.41914759377213,19.416117599663433,19.421828047801867,1.8326614270297714,1.822501334411919,1.8418671204743962,0.17171862647712322,0.16533645079575862,0.1792393139466975,7.124258667829038,7.122586196734989,7.126111756749148,0.5712590720877739,0.5657784906521754,0.5769864276566989,0.10625058487906729,0.10338684710481566,0.1093303935036979,43.04145330855359,43.0342135232553,43.049875268096216,2.3561188937211375,2.3313378336176904,2.381994976113548,0.5244868742306542,0.5065873301989808,0.5433049884225123
8,13.394944,12.356388787708052,12.353663559563252,12.359136700486523,1.2543147220787327,1.2441011248201927,1.2638568574332874,0.15861038426855922,0.1500736930296833,0.1684644791540556,7.007692289723643,7.00492470220791,7.01064743361954,0.597410564532027,0.5869056192251277,0.6076097808422004,0.14489036200930577,0.14062494836823805,0.1491531618785663,43.27629730361649,43.2667555552986,43.28612679119391,2.3202362414478603,2.2836275460271804,2.3507472345595204,0.5902607085904222,0.5690849739391003,0.6121414668987223,19.363837927494686,19.359569925291655,19.36847274016769,1.8507178994837328,1.8355338629963305,1.8651275252234774,0.23833843717270092,0.23073015129254826,0.24675146682901977,19.50916142602866,19.505962682450864,19.51237253222274,1.827317085898411,1.8157189786580412,1.8376971735103271,0.16487379553505646,0.15640457830402588,0.174071461833933,7.152826591117776,7.150851972113883,7.154432347065301,0.5720925949150114,0.566190758670493,0.5780453404625905,0.10027574026603009,0.09711850053352279,0.10328700105700035,43.15868099613276,43.150541475339324,43.16537865245558,2.356168950775094,2.3281355198434928,2.381849621878841,0.47591998787896284,0.45878595708978215,0.49327694846212916
9,13.444312,12.417474334290052,12.414475126076045,12.420224182642983,1.2452030564616368,1.2352348343799808,1.2561263655978603,0.14853990383528354,0.13779522944588551,0.16198152596482693,7.0383703648882285,7.035010066461116,7.041441865478111,0.6085697047188019,0.5968644706094761,0.6192193348714669,0.1454927905581383,0.14129332340100753,0.1504438864269506,43.39247371688098,43.38342340053504,43.40097002272735,2.3346075750834747,2.297490274566215,2.3683594519158913,0.5412256779722316,0.5177334886401114,0.5669150767283649,19.45586978810237,19.451257510843575,19.460632354165867,1.8552070467093786,1.838371452911055,1.8705350132409262,0.23179839974247482,0.22312044424420874,0.24200003061371395,19.598297540978876,19.59495411495314,19.601376334171597,1.8189696204564247,1.8072260103920057,1.8300128770054032,0.1587524069330557,0.1482317086795848,0.1710716318643584,7.180901876801466,7.178993513760739,7.182737632170815,0.5725282407233463,0.5663541594151902,0.5795567744532558,0.09502424023581311,0.0921516595596367,0.0979417980318631,43.273390867455724,43.26675071862781,43.28007233998815,2.352071730772679,2.32510716287655,2.3801088691076884,0.43137837029578474,0.41598222978229427,0.4473198135564584
10,13.49368,12.47823763700103,12.475450562619951,12.480998900483838,1.237527293904316,1.2277807647113315,1.2463619361646727,0.13937767025850045,0.12507249748866203,0.1539214040153693,7.069194154032026,7.065605785308439,7.072280041526029,0.6186204599556331,0.6070053368331678,0.630681347106302,0.14730095903719054,0.1422020565628347,0.15183555678566382,43.50824756144389,43.49895543269609,43.51653308473051,2.3434238895603805,2.3082076068872652,2.380610385770651,0.49983162831601247,0.4780372531372339,0.5221542824592413,19.54735177819542,19.542422807128176,19.552477131169884,1.8553112502821967,1.837363442027206,1.8734847536522152,0.22761328815328458,0.2170143321581557,0.23737561450666647,19.68707600032063,19.68329318609725,19.69026840565268,1.810134422598746,1.797592541340834,1.8222125210017097,0.15432516939236912,0.1405877680857124,0.16960536250735725,7.209282210068367,7.207429628389444,7.211127046728688,0.5727383237902618,0.5659327979531479,0.5798193592655365,0.0908823757359031,0.08797605575046678,0.0938020545992691,43.38975275639286,43.383429288570134,43.39633726929403,2.350183327333818,2.3225277852231754,2.378048578326705,0.3905039161575765,0.37411333010989467,0.40720092715823286
11,13.543047999999999,12.53841708008611,12.535170613632836,12.541193435072401,1.22767236908018,1.2182120441658693,1.237802060039896,0.13229220309811174,0.11418542310099132,0.14962781348613946,7.1008380821651365,7.096988724404619,7.1046584140943585,0.6281169469041297,0.6142936367513373,0.6417912442785159,0.14898353858323532,0.14389828831330476,0.15387456914556308,43.62490681631597,43.61550719263019,43.633691993238706,2.349449094470092,2.3138477399053556,2.3855529944103404,0.46266978043595786,0.44100043334762545,0.48571465167819483,19.638996899515035,19.63348643849924,19.644407399949003,1.8556790355165511,1.83707805885662,1.8738577839893766,0.2231679910845798,0.21273012115080592,0.23551277485402308,19.776026002055122,19.77213741055895,19.779377974894224,1.8012040433749585,1.7904351470075965,1.8129396657984467,0.15030292449363897,0.13428191400821327,0.16845233805725252,7.237705085035042,7.235618142100425,7.239672299381989,0.5743288474743051,0.5668218994363355,0.5813293970547849,0.08766671510202567,0.08428676948742701,0.09081576118352681,43.505069378954445,43.49844867195775,43.51190945767911,2.3414189969236414,2.31286084274401,2.370229988269254,0.35408921382165404,0.33878473690835137,0.37011255270037097
12,13.592416,12.598161133875854,12.594977571592151,12.600967410010474,1.2178889606250323,1.2090280580131405,1.2273205932938036,0.12440234157027341,0.10423682729054573,0.1448006776940867,7.132605897952741,7.128422960528293,7.136515873293321,0.637494464112675,0.623396817655066,0.6512156800676092,0.15122112409948474,0.1456987687691437,0.1567477969618305,43.74051421777094,43.73134634916319,43.749879130192596,2.346569110112599,2.3101329694438193,2.3829783437380243,0.431622051322779,0.4102082936120391,0.45442194190157753,19.730425316091758,19.724885685635822,19.73640048925126,1.856217545026996,1.8369756024922415,1.874243551520954,0.21993920259085192,0.20867076120431274,0.23260225930660755,19.864332069063266,19.860347628375575,19.867846405862355,1.7925052434889506,1.780628040615268,1.8049715266013817,0.14716722533780058,0.1289307281925743,0.16533907014169474,7.265791286190215,7.263852642771948,7.26787694590301,0.5743575500089281,0.5664648876684986,0.582064323557667,0.08494041142237937,0.08156304917512101,0.08869476023976541,43.619537240784844,43.61244937745197,43.62608689833571,2.328588573345632,2.2988784938009497,2.3570341844087057,0.32642458996830515,0.3118659586673962,0.3434323822524712
13,13.641784,12.657337404254006,12.654047622451326,12.66014322020653,1.2084295538266492,1.199898624208754,1.2175645814026728,0.11881051914961818,0.09539256230957902,0.1408419801909709,7.164915926588758,7.160074741767047,7.169709658904295,0.6464611956221575,0.6303844251265758,0.6604210177656867,0.153090109826618,0.14698958878301252,0.15915235372737438,43.8550672530069,43.845317847417405,43.865310329037335,2.3315013506781765,2.2925002875535814,2.370932441403967,0.4076574868348575,0.38557722656954924,0.4289219797476633,19.82254071751892,19.816391086218893,19.828404886595223,1.8555616586656223,1.8344611835716933,1.8737369311456538,0.21772795405983714,0.20651951185947398,0.23151988212792005,19.951784540139755,19.947973858002523,19.955773626367346,1.7851087899579914,1.773541967141742,1.7969133329647593,0.1434877151313506,0.12400727215641537,0.1629581076501351,7.294485481294227,7.292179356820829,7.296966182096325,0.5766750522576668,0.568278939778324,0.5850144258939715,0.08331504309766985,0.07965404515798767,0.08716629360689684,43.73235531059169,43.725056384048,43.73912496549368,2.3081369995021745,2.277739330982323,2.3355214336433456,0.30390980355088687,0.28933102120152754,0.3215398650658933
14,13.691151999999999,12.715800698720969,12.71300565143877,12.71847083417881,1.198396779437714,1.1897234681486808,1.2079520719398593,0.11329403388529624,0.08834847531134266,0.13496376363712034,7.197205246264852,7.192579954485417,7.202634762095612,0.6512967991211482,0.6352427918467897,0.6673967972017567,0.15480363379086048,0.14837451229689114,0.16072153365091124,43.96695937985436,43.955846170301925,43.978913766888006,2.3087059601484916,2.2688571427804933,2.3478978878531294,0.38679629704937446,0.36667371824663986,0.4075403854048581,19.913316730178792,19.907107595363012,19.919857734124943,1.8520493164001504,1.8307264046501805,1.8740035910083306,0.21561498256495515,0.203167151580798,0.22943078580238258,20.03887747400661,20.035219334069296,20.04277048311362,1.77768806138476,1.764356826831891,1.7899299400321314,0.14099934786436924,0.11988803510000072,0.1613076363444101,7.323207376277514,7.320685567054574,7.325729037823623,0.5782226051933987,0.5697367092992808,0.5866359149449124,0.08237424367215967,0.07825314366589511,0.08672801020731025,43.84346919896602,43.836326145949876,43.851145298835675,2.28271758641327,2.254445407675999,2.3111999542210677,0.2859715785377271,0.2695889131713365,0.3040644371725616
