bin,M_500c,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_cov,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_cov-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov+,M_hot_gas_500c_Y_X_500c_cov,M_hot_gas_500c_Y_X_500c_cov-,M_hot_gas_500c_Y_X_500c_cov+,M_hot_gas_500c_Y_SZ_500c_cov,M_hot_gas_500c_Y_SZ_500c_cov-,M_hot_gas_500c_Y_SZ_500c_cov+,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov-,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov+,T_sl_wo_recent_AGN_500c_Y_X_500c_cov,T_sl_wo_recent_AGN_500c_Y_X_500c_cov-,T_sl_wo_recent_AGN_500c_Y_X_500c_cov+,T_sl_wo_recent_AGN_500c_Y_SZ_500c_cov,T_sl_wo_recent_AGN_500c_Y_SZ_500c_cov-,T_sl_wo_recent_AGN_500c_Y_SZ_500c_cov+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_cov,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_cov-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_cov+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_cov,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_cov-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_cov+,Y_X_500c_Y_SZ_500c_cov,Y_X_500c_Y_SZ_500c_cov-,Y_X_500c_Y_SZ_500c_cov+
10,13.936477894736845,0.0021951326076049,0.0021332675061007,0.0022616429034089,0.0168575033058303,0.0166436697544476,0.0170823275478099,0.0129858035284635,0.0128423716971358,0.0131280630441686,0.010572123264388,0.0104541139385312,0.0106902312480456,0.0040749141616762,0.0038692161665109,0.0042381377577779,0.0086721032876106,0.008237298299846,0.0092327577535928,0.0052677917885153,0.0051748947382892,0.0053688153390204,0.0209220498872937,0.0206014667575381,0.021257027721806,0.0168953095657786,0.0166712150763579,0.0171139410050472,0.0158561561646198,0.0156629950914824,0.0160462837284494
11,14.030125684210526,0.0015837399035655,0.0015193797703062,0.0016511720343402,0.0144475911646653,0.0142299283043665,0.0146822629731966,0.0105375940818145,0.0103910622283448,0.0106741832223939,0.0086248215969549,0.0085135354663475,0.0087399580791947,0.0032175079219963,0.0030288875086523,0.003408056332495,0.0079488670567437,0.0073436288598038,0.0086049628701668,0.0045665661741406,0.0044705374003278,0.0046653098761805,0.0176562730720174,0.0173502739992584,0.0179621567216239,0.0141516065985171,0.0139258524205931,0.0143779958007783,0.0131850987096238,0.0130107460515531,0.013353554149798
12,14.12377347368421,0.0011549685842671,0.0010920582665914,0.0012174674386853,0.012340306000743,0.012120726106677,0.012576385426277,0.008511202102576,0.0083741834020315,0.008642419015544,0.0070492542244733,0.0069335098455276,0.0071484750899753,0.0027572992881411,0.0025669740332,0.0029491849168836,0.0075237619765993,0.0068827741302914,0.0082862364497765,0.0041376197818602,0.0040362978301902,0.0042468492954988,0.0151084292692414,0.0147813983407758,0.0154198815333547,0.0119439398606976,0.0117223384172817,0.0121704516724839,0.0111804988450908,0.0110035320059973,0.0113438636867737
13,14.217421263157895,0.0008596577213053,0.0007914253606901,0.0009353554780017,0.0105241963174038,0.0102935758147228,0.0107539120937944,0.0068949421434497,0.0067696757787895,0.0070384100953041,0.0057894082197219,0.0056794656123084,0.00590421457265,0.0026490819410686,0.0024099979299525,0.0028873725125136,0.007309177424728,0.0066260130430299,0.0081536123055556,0.0039260016636785,0.0038158786505268,0.004040061998889,0.0131281860068437,0.0128117276715362,0.0134817791519727,0.0102197959240328,0.0099715605047312,0.0104804815126046,0.0097145002214024,0.0095291724512567,0.0099123585008173
14,14.31106905263158,0.0006752565666059,0.0005942202817269,0.0007564532378952,0.0090583314271825,0.0088093228049008,0.0093040028206562,0.0056362670616986,0.0055029403544806,0.0057906038662817,0.0048056719527574,0.0046904058132102,0.0049162009562432,0.0027718449884517,0.0024966037061881,0.0030401308867183,0.007204835921025,0.0065784252896912,0.0079539750374822,0.0038914747774032,0.0037512665531065,0.0040329940047039,0.0118102840056232,0.0114200616886777,0.0121845807417004,0.0089457574899221,0.0086662253977669,0.0092468345432597,0.0086975934646951,0.0084854936858339,0.0089234040374492
15,14.404716842105262,0.0005770717752832,0.0004821769183791,0.0006660349245465,0.0078969667715384,0.0076085906124461,0.0081562738357733,0.0047403795572817,0.0045873876643796,0.0048925744626714,0.0040672662188069,0.003954373489928,0.0041953433913932,0.0030698047069686,0.0026884773957097,0.003423274659227,0.0072912984243191,0.0066700577640956,0.0079631013335224,0.0039872582892987,0.0038054002757434,0.0041650032496518,0.0109378188134792,0.0104314011991838,0.0114413762061553,0.0080368312605827,0.0076678628104122,0.0083788217943783,0.0080513824419968,0.0078078857091786,0.0082923378764539
16,14.498364631578948,0.0005727609196309,0.0004601933011883,0.0006787529344808,0.0069456638872621,0.0066158304203018,0.0072766621627476,0.0040971799449726,0.0039271339360968,0.0042614057622455,0.0035246457631092,0.0034005420280733,0.0036649387119903,0.003493800737354,0.0030467656934147,0.0039740279792274,0.0079712225010111,0.0072322870778455,0.0087190800567112,0.0042528467201644,0.0040437350792484,0.0044703464536382,0.0104381300217188,0.0098235326912292,0.0110163641686873,0.0073931021580547,0.0069879122638308,0.0078241285984169,0.0077945886013367,0.0075199464439998,0.0080689975319944
17,14.592012421052631,0.0006267173671751,0.0004875354905672,0.0007714358536207,0.006043933961312,0.0057165167655751,0.0064232566066004,0.0036625518314156,0.0034711133674898,0.0038617596953162,0.0031150991091163,0.0029711044299585,0.0032686006216829,0.004077559261116,0.0034545243713299,0.0046773077598508,0.0096189651933831,0.007944500972505,0.0117054836197179,0.0046789624675556,0.0043844854217571,0.0050038364192307,0.010153172439779,0.0094146220022074,0.0109302780655929,0.0068879253093774,0.0064081016018689,0.007418249917217,0.0078288406455408,0.0074324360564501,0.0081889210182055
18,14.685660210526317,0.0007663309533504,0.000546694470276,0.0009788100517293,0.0052065831591458,0.0048318495944182,0.005563310969506,0.0033466948660666,0.0030866392864549,0.0036057928106922,0.0028026631614707,0.0026397533615448,0.0029765104295556,0.005050687823009,0.0041566238249624,0.0060094668755029,0.0135124481965382,0.0089940617627085,0.018251996957159,0.0053246753880418,0.0048518785655872,0.0058365090185508,0.0101733900301593,0.0091584000257757,0.0112866006908833,0.0064359869642476,0.0058218141148427,0.007042376083814,0.0081572068648512,0.0076061752844269,0.008724776512032
19,14.779308,0.0009139002649884,0.0006105969752824,0.0012219621458999,0.0043690705572437,0.0039351505933914,0.0048194163113024,0.0031630593529426,0.0028169347793894,0.0035362148072284,0.0025421735586075,0.002362575380528,0.0027395207952651,0.0064495563638037,0.0052268972690246,0.0080827656179182,0.020336244960257,0.0104393850031902,0.0316947175622924,0.0062167694438855,0.0054148438664318,0.0070841156374439,0.0107820414029694,0.0093166870631021,0.0126149886901076,0.0062190388642871,0.0054553890556299,0.0071195729505967,0.0087764262076758,0.0079467419905304,0.0097941883373223
