bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_500c_mpq,T_mw_hot_gas_500c_mpq-,T_mw_hot_gas_500c_mpq+,L_X_ROSAT_obs_ce_500c_mpq,L_X_ROSAT_obs_ce_500c_mpq-,L_X_ROSAT_obs_ce_500c_mpq+,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq+
10,13.49368,0.11224951332737584,0.10030132789769068,0.12370477772090949,0.23902809103149958,0.2304149615799075,0.2469618465133948,0.2132436976596626,0.20236687164708983,0.2233854592734249,0.12267747921902172,0.11717874234377004,0.12826984148306333,0.08527451108813541,0.07750257787543484,0.09244514863747649,0.1586564731157869,0.1530192323644153,0.16385001798388035,0.16680531278363192,0.16003598872034697,0.1732846498168358,0.07617954392252421,0.05354303446743952,0.08716798597855892
11,13.543047999999999,0.10729719603412186,0.09131892771733946,0.11972929062120725,0.23759642919644725,0.22769368154259864,0.24760481167436407,0.1962663835503473,0.1865531370770981,0.2057405656918843,0.11973258007700734,0.11391661039620665,0.12631102197139524,0.0823050225836495,0.07244767825913483,0.0918539872279541,0.15296257098745314,0.14681957696706655,0.1593165909016314,0.15101987048863005,0.14426106030408511,0.15785878803373468,0.07345155297791642,0.05377814178780021,0.08542369819385656
12,13.592416,0.10226760514423085,0.08372603778613633,0.11793978912061069,0.2361753851598689,0.22679063406139163,0.2478252154583664,0.18497250212417787,0.1757254184720233,0.19318858586606738,0.11849057289910639,0.11179585251458461,0.12548832065682414,0.082200557697606,0.07051157833857091,0.09199310725240727,0.14736677881462631,0.14102560143147946,0.15363679470875946,0.1401676846796128,0.13274428937887428,0.14700681436611554,0.07306902349454121,0.051743173912732414,0.08456697043403576
13,13.641784,0.09656685080533142,0.07728405152022363,0.11410857008370369,0.2361195368280774,0.2264893167311405,0.2467768789118694,0.17554651076595557,0.16589311682214306,0.18482555189751285,0.11739371363264232,0.10986415043477235,0.12475064746942116,0.07988924816867285,0.0679657249263366,0.09051366678297004,0.14375397868361173,0.13716137853210825,0.15081731030693957,0.1313204918769576,0.12413730346996892,0.13911707545389038,0.06977960545383544,0.048654203575245816,0.0814944420869758
14,13.691151999999999,0.09510554657400459,0.0731256875468407,0.11185105506593543,0.23583706944033778,0.2247967646342316,0.24858220017812813,0.16819337474741988,0.15935281507635535,0.17741210925642067,0.11595414853204078,0.1088757229461753,0.12273031708261474,0.07797952706630544,0.06651987771828968,0.08857091093011711,0.14192560062027926,0.13468919217401906,0.14866357788215703,0.12491132681342362,0.11818557569237324,0.1323975594112404,0.06715113616322368,0.047100241954447536,0.07885106064964159
15,13.74052,0.09075885547978353,0.0697761533561286,0.10680849913918164,0.23781915349016494,0.226236301819343,0.24864237668007177,0.16293389249245424,0.15277074676382893,0.1726887084367201,0.11534331721523935,0.10839589430767617,0.1217069333660933,0.07679826091969705,0.06414133735571093,0.08829113939897658,0.14025779755123535,0.13287602671887208,0.14826075379528142,0.12093842180910067,0.1125757179044844,0.12903067331161616,0.0638660856186987,0.04378253639257317,0.07588728382504183
16,13.789888,0.0873871120434293,0.06539238133777293,0.10360876416111778,0.23832942226840273,0.22567773648517922,0.2518880595695616,0.16058057339263754,0.15084848613115853,0.170472691030867,0.11488920486823359,0.10711714524507365,0.12259728511364745,0.07510015868704914,0.06337432676286986,0.08469792592770223,0.13923445813765062,0.1305110419116566,0.14735401842796672,0.11773455495869095,0.10801586325475511,0.12568715800903,0.062298397636522465,0.042183977682177805,0.07318998685221417
17,13.839255999999999,0.08108981318801177,0.06196756360745557,0.09659155627836048,0.23965779995237113,0.22527425588574715,0.2537863562155828,0.1574819838548133,0.1479311398061544,0.1669508459551439,0.11271924172526891,0.10604278286793554,0.11907595861930839,0.07238946241869082,0.06149650079640506,0.08099213440331604,0.13744853470407686,0.12924545673932114,0.1457347451549985,0.11646035938282001,0.10699671322843787,0.12455988795171168,0.058173175865710455,0.041428233473322945,0.06843921126606639
18,13.888624,0.07668993233730885,0.05934377680318323,0.0913245124790234,0.23892197342711896,0.2243913983413677,0.2537767000826283,0.1560948477882736,0.1459963733602586,0.16632726228835437,0.1120849289960715,0.10514721834697552,0.11844663103197854,0.07031261375385234,0.06173328657941653,0.07768042002914437,0.1349206005173746,0.12562577071681744,0.1449433310143781,0.11432544480329897,0.10483420141443996,0.12270443354411327,0.0525427103184211,0.03382472922024721,0.06395592555241372
19,13.937992,0.0717250975265864,0.05613336684219104,0.08406214201207672,0.23947147396405982,0.22281201608765844,0.2565933388912983,0.15331270530256735,0.14246350487329176,0.1634067366769684,0.11041948090939885,0.10382703758606808,0.11645852964670078,0.06799989099625706,0.06051207446241038,0.0747411598282067,0.1344586546418866,0.12363763137717315,0.1441225767385806,0.11204611450064336,0.10256697450798688,0.12053314241231645,0.05094957156083013,0.03421510243522963,0.06179254959255896
