bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_wo_recent_AGN_500c_mpq,T_sl_wo_recent_AGN_500c_mpq-,T_sl_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_wo_recent_AGN_500c_mpq,T_mw_hot_gas_wo_recent_AGN_500c_mpq-,T_mw_hot_gas_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq+,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq+
0,13.0,0.12793487573640974,0.12766372659770972,0.1281939652888121,0.21992278070143229,0.2190191561223335,0.22080891381118403,0.28491260005047525,0.28407583041906925,0.2858029728981989,0.12578310463165499,0.12547149656299444,0.12606451559113174,0.11716602152060576,0.11691870368468335,0.11740112827954709,0.19500860116664576,0.1944694192279319,0.19549160946921643,0.20354397777565977,0.2028457258177925,0.20419817576349103,0.11660110161323468,0.1161360625354341,0.11683591860462202
1,13.078965578947368,0.11647204117403465,0.11620955305130441,0.11672512359204115,0.2118311334966992,0.21057138714811224,0.21305007134773168,0.2576446767616678,0.2568983887008684,0.25849251517120986,0.11811052221949148,0.11781543851055293,0.11840328342159016,0.10807280684093062,0.10785748726650916,0.10828563143588464,0.18029629778661505,0.17975195122422263,0.18077898640018017,0.1846902451995024,0.18398148041388135,0.18529962171577982,0.10739866032608805,0.1069650778231725,0.10764948160634187
2,13.157931157894737,0.10625751558137006,0.1060072057145299,0.10651788367462332,0.20593550649561476,0.20459094273194628,0.20733788639040038,0.23254388141737353,0.23166773839784538,0.23338752431166213,0.11180676673591769,0.11143279239922636,0.11215356633827002,0.0998172426686173,0.09956660510947045,0.10008721480532976,0.1663756026231069,0.16580500519130173,0.16689246455698528,0.16763247689093794,0.16698344982771968,0.16827340345038796,0.09892756580933401,0.0984915586373909,0.09917631496938524
3,13.236896736842105,0.09778045424374476,0.0975280619814446,0.09803966182259496,0.20252138222459753,0.20043298171417262,0.20448489497438044,0.21062147846349027,0.20975114053578156,0.21147151836695713,0.10703171236234342,0.10660458800467974,0.10746147886817267,0.09264574778356334,0.09238369591325504,0.09292239746613379,0.15403117263681637,0.1534251539065856,0.1545788546688031,0.15302293921927096,0.15235363107170374,0.15373875411310506,0.09151008000002528,0.09109973007476971,0.09175660137487192
4,13.315862315789474,0.0910946694721265,0.0908191465888006,0.09136175497176366,0.20186845692376595,0.1996006696143767,0.20406627638423147,0.19207578745245396,0.1911586330023633,0.1929311860821764,0.10365818408084121,0.10312691723989122,0.10419738019219328,0.08656788561125014,0.08631882328105298,0.08681898163336459,0.14338152481159028,0.142777238036726,0.14391800914647637,0.14140871186980347,0.14073031086837004,0.14214583631465813,0.0851657344903747,0.08476469710599097,0.08546701971736867
5,13.394827894736842,0.08600943573009986,0.08573550064153343,0.0862864178777476,0.20358644594037995,0.20071818130828528,0.20659404113116941,0.17669102693770322,0.17572621063579835,0.17770533659314985,0.10153669163739715,0.10090015974074827,0.10223671225389998,0.08144126245994365,0.08117236701843795,0.08174086776295032,0.13440653280221665,0.13383793461336813,0.1350694510689688,0.13246138739207214,0.13169326666407888,0.1332715479296917,0.07987549855677824,0.07941656088389723,0.0802198593865698
6,13.47379347368421,0.08229252903360937,0.08196961595386466,0.08256712339425759,0.20708236091301724,0.20304097227804474,0.21103896270723768,0.16436084459450917,0.16322697259434665,0.16543869270844935,0.10028821090586908,0.09939718216211255,0.10107936604313962,0.07698615276220538,0.07668006703216233,0.07725727345056457,0.12719951578794658,0.12655440626186118,0.12775669035065187,0.12582627486290443,0.12494392662872814,0.12668762310427287,0.07534673549132012,0.07482490497172009,0.07568658805322441
7,13.552759052631579,0.07950031681617353,0.07923238397343091,0.07982143949394695,0.21119288287077442,0.20669027521261707,0.21623341338709323,0.1541252347836931,0.15309958284139458,0.15526754427524542,0.0993505834537563,0.09828819247870722,0.10039723783275015,0.07304743352483442,0.07272106992384487,0.07337048048768766,0.12117701037664928,0.12050807993041936,0.12188299074368507,0.12095272992176931,0.12015017243842911,0.12178829535432763,0.07135742850026977,0.0707878702469174,0.07179295989682515
8,13.631724631578948,0.07733969590633824,0.07699407643111045,0.07771330474760695,0.21711303097783474,0.21112625847293376,0.22293146255188082,0.14574711324226094,0.14454796066035466,0.14702302155192598,0.09880110145405888,0.09754699378282082,0.10007569986557392,0.069490243275698,0.06916815705495846,0.06981381464140812,0.11687523707789514,0.11606311820748552,0.11758256859638362,0.11747316094055395,0.11656770857709225,0.11830511040712521,0.06774120619209523,0.06700672258706289,0.06821991135493619
9,13.710690210526316,0.07544849330636424,0.0750472750077276,0.07584919425544671,0.22161840173789593,0.21484990955338348,0.2287982199136687,0.13871636991924371,0.13730593176700312,0.13999721459032058,0.09836706441112907,0.09669527723593999,0.1001218102121357,0.06621126705012348,0.06581539087681529,0.06656645776735419,0.1137929401386506,0.11294175246756175,0.11467017556035204,0.11450168320995245,0.11370622027335647,0.11527576298933696,0.06443307979451421,0.06364509136363168,0.0649914628129218
