bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_wo_recent_AGN_500c_mpq,T_sl_wo_recent_AGN_500c_mpq-,T_sl_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_wo_recent_AGN_500c_mpq,T_mw_hot_gas_wo_recent_AGN_500c_mpq-,T_mw_hot_gas_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq+,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq+
0,13.0,0.15057024643485836,0.1502634829009775,0.15086207076720043,0.18582829658556826,0.18534930666456859,0.18628320226206915,0.24525957925672517,0.24463116578778557,0.24591078498247096,0.135137722990852,0.13488522985535464,0.1353936864884622,0.1303058864445857,0.1300718841259712,0.13056384696319923,0.2077332215867291,0.20715902616864218,0.20831835746573657,0.19633356442999805,0.19578071268170677,0.1967843116163201,0.1294327723611856,0.12874293403891224,0.12975796062964146
1,13.103992368421052,0.1342477004482168,0.13397950647763457,0.13452443743981743,0.17029660293599164,0.16981709770919673,0.17078152223208573,0.21439638240110764,0.21382158150852856,0.21498836800537874,0.12295854246438537,0.12271257074952047,0.12321740599763362,0.11763483519272001,0.11741273684353286,0.11788457965664498,0.18728186860990836,0.18670892304024914,0.18778559787202365,0.17005011473383402,0.16959885706212374,0.1704840556394748,0.11710892825879138,0.11634824714184132,0.11747614452659573
2,13.207984736842105,0.12166753438554229,0.12137912702346412,0.12192728637034037,0.15792609872387778,0.15748955684555807,0.15838550989070652,0.18806034868584798,0.1875353687569911,0.18862414010409076,0.11310362932161178,0.11286319136846219,0.11337100902192498,0.10721803652812645,0.10698447833153693,0.10746032056038313,0.17077381084159088,0.17026336897870292,0.1713102346828163,0.1503551022025887,0.14989425988695423,0.15081489641662335,0.1066366439130958,0.10552357163996254,0.10709531010964446
3,13.311977105263157,0.1132053344602736,0.11293103693201045,0.11351569515016117,0.14881761725095966,0.14827469401147866,0.14935868545789857,0.16843645493200743,0.1679030702609117,0.16903274411410724,0.10579302148132216,0.1055265923070681,0.10603044301191733,0.09929900126265734,0.09905678682840131,0.09954555734656488,0.15890745992707964,0.15834988335168487,0.15943911308304184,0.1387880261190485,0.13834129042756046,0.13920636873606176,0.09802525733478734,0.09653538335943539,0.09880403562897713
4,13.41596947368421,0.10814551039383563,0.10785559995010398,0.10842753708504065,0.14150978714597484,0.14098798688903327,0.14202386342131626,0.1556722130346117,0.15510556473575415,0.15618291340429605,0.10016512028165905,0.09986895858997265,0.10043258930953688,0.09317413168006852,0.09291847208675298,0.093446787234393,0.15076643524465855,0.15013926552433152,0.15132917251493647,0.13449893140220087,0.13405029412972275,0.13497254940246678,0.09094000646910233,0.08862209675122247,0.09202162581204534
5,13.519961842105262,0.1050313684130757,0.10471460641792722,0.10536508162251415,0.1340052318842435,0.13333397960335347,0.1346650361269348,0.1485302179379507,0.14790923061746028,0.1491473931447529,0.09504902860183326,0.09476886272512854,0.09532551960992541,0.08802517848209962,0.08777464110090424,0.0882574298312104,0.14507361591585294,0.14444054473781007,0.1456856909678665,0.13508226939427667,0.13455981308510223,0.13556960791162395,0.08461304620953666,0.08189236944564564,0.0858669774408311
6,13.623954210526316,0.10243199935570924,0.10210064115486041,0.10275816263967343,0.1259914997464575,0.1251108875608474,0.12688388525440342,0.14520478970127385,0.14454966060317395,0.14581952979605553,0.08970099019544386,0.08939920354240204,0.09001560674320343,0.08297249472058424,0.08270572761896153,0.0832543439304834,0.14077405161794748,0.14008045346869066,0.14157672015733527,0.13803014540694492,0.13746524866355456,0.13853785009904568,0.07858932975212007,0.07532696366387677,0.0799165751331719
7,13.727946578947368,0.09947830860444329,0.09907240977884507,0.09987326853998993,0.11798216681219112,0.11687467800777507,0.11909759350587241,0.14372535895154187,0.14297308444259033,0.1444724560413649,0.08392658082795232,0.0836166999595272,0.08422994566102406,0.07783770527624945,0.07754826034622327,0.07814013538970578,0.13677323946542208,0.13599727911859,0.13757660210401948,0.14097874520793965,0.14038308542527342,0.14160834674122275,0.07270751444518903,0.06968591756158755,0.07395956681922843
8,13.831938947368421,0.09566140471218193,0.09527026669585158,0.09603823966831582,0.11182521548718354,0.11050067316376692,0.11300959090150263,0.14301346141597737,0.14227970278324348,0.14378564672700014,0.07805957999685215,0.07774692681397985,0.07840627640174133,0.072622776890019,0.07228824819839212,0.07294624769406749,0.13239798797438204,0.13153171165232516,0.13327795440027934,0.14311916085808932,0.14242986872477098,0.143828047935086,0.06726109984461265,0.06486052917794005,0.06828022656107798
9,13.935931315789473,0.09082115938359077,0.0903969542289091,0.09124452294546002,0.10747790281619451,0.10616117613830656,0.1090457549472111,0.14215706359901442,0.14130571360696023,0.143066528426897,0.07249814687898981,0.07214047025278947,0.07289060879199893,0.06754977967565617,0.06724969241776577,0.06788391594022705,0.12713362044278004,0.12616622386129045,0.12807825305401482,0.14355184580821923,0.14278999114700328,0.1443233110514699,0.06210493312687425,0.060387675343579986,0.06289693077236254
